#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
#
# DPW-8/AePW-4 FORCE AND MOMENT SUBMITTAL FORM (Version 5 - October 16, 2024)
#
# Provide this file for steady-state or time-averaged force and moment coefficients
#
#
#
# Data Set Title XXX.YY: Replace "XXX.YY" in the zone titles with the following information
#                     (Three-Digit Participant ID).(Two-Digit Submission ID)
#                     XXX THREE-DIGIT PARTICIPANT ID: assigned by your working group leaders
#                     YY   TWO-DIGIT  SUBMISSION ID:  (self assigned) label a solver/grid/computational approach
#                     EXAMPLE: 007.02
#
# 
#       NOMENCLATURE:
#         GRID_LEVEL:   Level of grid refinement (1-6)
#          GRID_SIZE:   Number of grid nodes or cells
#            GRIDFAC:   1/GRID_SIZE**2/3
#               MACH:   Freestream Mach Number
#                REY:   Chord-Based Reynolds Number
#              ALPHA:   Angle of Attack, deg
#                 CL:   Coefficient of Lift            (total) (L/(0.5*rho_inf*U_inf^2*A)  )              Provided to eight decimal points
#                 CD:   Coefficient of Drag            (total) (D/(0.5*rho_inf*U_inf^2*A)  )              Provided to nine  decimal points
#                 CM:   Coefficient of Pitching Moment (total) (M/(0.5*rho_inf*U_inf^2*A*c)) (+ nose-up)  Provided to eight decimal points
#              CD_PR:   Surface-Pressure Integrated Drag Coefficient
#              CD_SF:   Skin-Friction Integrated Drag Coefficient
#              *_TOT:   Total Configuration Force/Moment
#             *_TAIL:   Horizontal Tail Component Force/Moment
#             *_WING:   Wing Component Force/Moment
#              *_FUS:   Fuselage Component Force/Moment
#              *_NAC:   Nacelle Component Force/Moment
#               *_PY:   Pylon Component Force/Moment
#                CPU:   CPU (or GPU) hours used
#                 DT:   Time Step Per Iteration
#           CTUSTART:   Convective Time Unit at Which Averaging Began
#             CTUAVG:   Number of Convective Time Units in Time-Averaging Phase
#                Q/E:   Dynamic Pressure / Modulus of Elasticity
#
#     DECIMAL POINTS:   Please provide data in at least the number of decimal points listed below (?.???????? would have at least eight decimal points)
#
#      OPTIONAL DATA:   Enter -999 for any optional data you are not submitting
#                   
#        DEFINITIONS:   CTU --> Convective Time Unit  (Uinf/Cref is 1.00 CTU)
#
#   REFERENCE VALUES: ONERA OAT15A (ONE CELL WIDE)
#                       Planform ref area, A         =  Cref * span (span is grid dependent)
#                       Mean aerodynamic chord, Cref =    230.00 mm
#                       x moment center              =     57.50 mm
#                       y moment center              =      0.00 mm
#                       z moment center              =      0.00 mm
#
#   REFERENCE VALUES: Common Research Model
#                       Planform ref area, A         = 594720.00 inches^2
#                       Mean aerodynamic chord, Cref =    275.80 inches
#                       Full-span length, B          =   2313.50 inches
#                       Semi-span length, BO2        =   1156.75 inches
#                       x moment center              =   1325.90 inches
#                       y moment center              =      0.00 inches
#                       z moment center              =    177.95 inches
#                       Aspect Ratio, AR             =      9.00
#
#   CONFIGURATION:      ONERA OAT15A
#                       CRMWB   (Common Research Model Wing/Body)
#                       CRMWBNP (Common Research Model Wing/Body/Nacelle/Pylon)
#
#              NOTES:   1. All numerical data fields can be free-formatted.
#                       2. Please use at least 4 decimal places for coordinate values
#                       3. Please use at least 6 decimal places for coefficient values
#                       4. Only include one grid type, grid size, soln method, turb model, etc per form.
#                       5. Fill fields with value of -999 for data that are not available.
#
#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++

TITLE = "007.05"

#                                                                                                                                                                                    +----------------------------------------------------------------------- OPTIONAL ---------------------------------------------------------------------------------------------------------------------+ 
# Column     1             2            3           4       5      6         7           8            9            10            11            12            13           14           15           16           17           18          19           20          21          22           23          24          25           26          27           28        29          30         31 
VARIABLES = "GRID_LEVEL"  "GRID_SIZE"  "GRID_FAC"  "MACH"  "REY"  "ALPHA"   "CL_TOT"    "CD_TOT"     "CM_TOT"     "CL_WING"     "CD_WING"     "CM_WING"     "CD_PR"      "CD_SF"      "CL_TAIL"    "CD_TAIL"    "CM_TAIL"    "CL_FUS"    "CD_FUS"     "CM_FUS"    "CL_NAC"    "CD_NAC"     "CM_NAC"    "CL_PY"     "CD_PY"      "CM_PY"     "CPU_Hours"  "DELTAT"  "CTUSTART"  "CTUAVG"   "Q/E"  

#---------------------------------------------------
#   PARTICIPANT, GRID, AND SOLVER INFORMATION
#---------------------------------------------------
DATASETAUXDATA ParticipantID   = "007"
DATASETAUXDATA SubmissionDate  = "November 30th, 2024"
DATASETAUXDATA Name            = "Andrea Sansica"
DATASETAUXDATA Email           = "sansica.andrea@jaxa.jp"
DATASETAUXDATA Institution     = "JAXA"
DATASETAUXDATA SolverName      = "FaSTAR"
DATASETAUXDATA BasicAlgorithm  = "RANS"
DATASETAUXDATA TurbulenceModel = "SAnoft2-R"
DATASETAUXDATA GridId          = "Custom"
DATASETAUXDATA Notes           = "-999"


#-------------------------------------------------------------------------------
#  REQUIRED:  VEHICLE F&M
#  OPTIONAL:  INDIVIDUAL COMPONENT FORCES AND MOMENTS

# CREATE ZONES VARYING ALPHA WHILE HOLDING GRID LEVEL CONSTANT (LABEL: GRID LEVEL X)
#    AND ZONES VARYING GRID LEVEL WHILE HOLDING ALPHA CONSTANT (LABEL: ALPHA X.XX)
#-------------------------------------------------------------------------------
ZONE T= "007.05 GRID LEVEL 1"
AUXDATA Tstatic         = "271 K"
AUXDATA Deltat          = "-999"
AUXDATA GridFileName    = "JAXA Custom Grids"
AUXDATA Misc            = "-999"
1 56625 0.0006781532644176036 0.73 3000000 1.50 0.794341 0.154638E-01 -0.130434 0.794341 0.154638E-01 -0.130434 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 46.60487777777778 -999 -999 -999 -999
1 56625 0.0006781532644176036 0.73 3000000 3.10 0.980366 0.402845E-01 -0.135812 0.980366 0.402845E-01 -0.135812 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 46.575361111111114 -999 -999 -999 -999
1 56625 0.0006781532644176036 0.73 3000000 3.90 0.986261 0.538352E-01 -0.128903 0.986261 0.538352E-01 -0.128903 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 46.87218333333333 -999 -999 -999 -999

ZONE T= "007.05 GRID LEVEL 2"
AUXDATA Tstatic         = "271 K"
AUXDATA Deltat          = "-999"
AUXDATA GridFileName    = "JAXA Custom Grids"
AUXDATA Misc            = "-999"
2 116480 0.0004192751201053553 0.73 3000000 1.50 0.801119 0.151708E-01 -0.131715 0.801119 0.151708E-01 -0.131715 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 76.20010833333333 -999 -999 -999 -999
2 116480 0.0004192751201053553 0.73 3000000 3.10 0.989714 0.405227E-01 -0.138181 0.989714 0.405227E-01 -0.138181 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 76.50113333333333 -999 -999 -999 -999
2 116480 0.0004192751201053553 0.73 3000000 3.90 0.996903 0.542104E-01 -0.131357 0.996903 0.542104E-01 -0.131357 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 76.49011666666667 -999 -999 -999 -999

ZONE T= "007.05 GRID LEVEL 3"
AUXDATA Tstatic         = "271 K"
AUXDATA Deltat          = "-999"
AUXDATA GridFileName    = "JAXA Custom Grids"
AUXDATA Misc            = "-999"
3 234750 0.00026278239473475495 0.73 3000000 1.36 0.772801 0.138450E-01 -0.130905 0.772801 0.138450E-01 -0.130905 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 133.74654722222223 -999 -999 -999 -999
3 234750 0.00026278239473475495 0.73 3000000 1.50 0.802941 0.150926E-01 -0.132064 0.802941 0.150926E-01 -0.132064 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 134.60122222222222 -999 -999 -999 -999
3 234750 0.00026278239473475495 0.73 3000000 2.50 0.959586 0.301499E-01 -0.140924 0.959586 0.301499E-01 -0.140924 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 134.67217222222223 -999 -999 -999 -999
3 234750 0.00026278239473475495 0.73 3000000 3.00 0.989752 0.389011E-01 -0.139646 0.989752 0.389011E-01 -0.139646 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 135.10254444444445 -999 -999 -999 -999
3 234750 0.00026278239473475495 0.73 3000000 3.10 0.993011 0.406403E-01 -0.139015 0.993011 0.406403E-01 -0.139015 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 134.39393611111112 -999 -999 -999 -999
3 234750 0.00026278239473475495 0.73 3000000 3.25 0.996672 0.432406E-01 -0.137930 0.996672 0.432406E-01 -0.137930 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 135.36103055555554 -999 -999 -999 -999
3 234750 0.00026278239473475495 0.73 3000000 3.40 0.999086 0.458316E-01 -0.136721 0.999086 0.458316E-01 -0.136721 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 134.21673611111112 -999 -999 -999 -999
3 234750 0.00026278239473475495 0.73 3000000 3.50 1.00011 0.475508E-01 -0.135863 1.00011 0.475508E-01 -0.135863 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 134.0418361111111 -999 -999 -999 -999
3 234750 0.00026278239473475495 0.73 3000000 3.60 1.00075 0.492673E-01 -0.134984 1.00075 0.492673E-01 -0.134984 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 133.97004722222223 -999 -999 -999 -999
3 234750 0.00026278239473475495 0.73 3000000 3.90 1.00076 0.543967E-01 -0.132281 1.00076 0.543967E-01 -0.132281 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 133.89620277777777 -999 -999 -999 -999

ZONE T= "007.05 GRID LEVEL 4"
AUXDATA Tstatic         = "271 K"
AUXDATA Deltat          = "-999"
AUXDATA GridFileName    = "JAXA Custom Grids"
AUXDATA Misc            = "-999"
4 497120 0.0001593526081585157 0.73 3000000 1.36 0.773727 0.138139E-01 -0.131062 0.773727 0.138139E-01 -0.131062 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 284.1313388888889 -999 -999 -999 -999
4 497120 0.0001593526081585157 0.73 3000000 1.50 0.803916 0.150694E-01 -0.132240 0.803916 0.150694E-01 -0.132240 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 285.6324138888889 -999 -999 -999 -999
4 497120 0.0001593526081585157 0.73 3000000 2.50 0.961137 0.301952E-01 -0.141295 0.961137 0.301952E-01 -0.141295 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 280.97153055555555 -999 -999 -999 -999
4 497120 0.0001593526081585157 0.73 3000000 3.00 0.991609 0.389861E-01 -0.140108 0.991609 0.389861E-01 -0.140108 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 280.6893861111111 -999 -999 -999 -999
4 497120 0.0001593526081585157 0.73 3000000 3.10 0.994915 0.407307E-01 -0.139488 0.994915 0.407307E-01 -0.139488 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 284.54304444444443 -999 -999 -999 -999
4 497120 0.0001593526081585157 0.73 3000000 3.25 0.998638 0.433426E-01 -0.138420 0.998638 0.433426E-01 -0.138420 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 284.6607638888889 -999 -999 -999 -999
4 497120 0.0001593526081585157 0.73 3000000 3.40 1.00113 0.459431E-01 -0.137228 1.00113 0.459431E-01 -0.137228 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 284.2379111111111 -999 -999 -999 -999
4 497120 0.0001593526081585157 0.73 3000000 3.50 1.00220 0.476696E-01 -0.136382 1.00220 0.476696E-01 -0.136382 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 286.5134277777778 -999 -999 -999 -999
4 497120 0.0001593526081585157 0.73 3000000 3.60 1.00289 0.493928E-01 -0.135511 1.00289 0.493928E-01 -0.135511 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 283.5459611111111 -999 -999 -999 -999
4 497120 0.0001593526081585157 0.73 3000000 3.90 1.00305 0.545410E-01 -0.132835 1.00305 0.545410E-01 -0.132835 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 282.151375 -999 -999 -999 -999

ZONE T= "007.05 GRID LEVEL 5"
AUXDATA Tstatic         = "271 K"
AUXDATA Deltat          = "-999"
