#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
#
# DPW-8/AePW-4 SECTIONAL CUT SUBMITTAL FORM (Version 5 - October 16, 2024)
#
# Provide this file for steady-state or time-averaged sectional cuts
#
#
#
# Data Set Title XXX.YY: Replace "XXX.YY" in the zone titles with the following information
#                     (Three-Digit Participant ID).(Two-Digit Submission ID)
#                     XXX  THREE-DIGIT PARTICIPANT ID: assigned by your working group leaders
#                     YY   TWO-DIGIT  SUBMISSION ID:  (self assigned) label a solver/grid/computational approach
#                     K.KK ALPHA: Angle of attack for the solution
#                     L    GRID LEVEL: 1, 2, 3, 4, 5, or 6
#                     EXAMPLE: 007.02 - ALPHA 2.50 - GRID 3 - WING SECTION  1
#
# 
#       NOMENCLATURE:
#                  X:   X coordinate
#                  Y:   Y coordinate
#                  Z:   Z coordinate
#                X/C:   Chord Fraction = (X - X_LE)/CHORD
#                 CP:   Coefficient of pressure
#                 CF:   Skin-friction coefficient at wall [tauw/(freestream dynamic pressure)]
#        CFX,CFY,CFZ:   Components of skin-friction coefficient at wall
#                   
#        DEFINITIONS:   CTU --> Convective Time Unit  (Uinf/Cref is 1.00 CTU)
#
#   REFERENCE VALUES: ONERA OAT15A (ONE CELL WIDE)
#                       Planform ref area, A         =  Cref * span (span is grid dependent)
#                       Mean aerodynamic chord, Cref =    230.00 mm
#                       x moment center              =     57.50 mm
#                       y moment center              =      0.00 mm
#                       z moment center              =      0.00 mm
#
#   REFERENCE VALUES: Common Research Model
#                       Planform ref area, A         = 594720.00 inches^2
#                       Mean aerodynamic chord, Cref =    275.80 inches
#                       Full-span length, B          =   2313.50 inches
#                       Semi-span length, BO2        =   1156.75 inches
#                       x moment center              =   1325.90 inches
#                       y moment center              =      0.00 inches
#                       z moment center              =    177.95 inches
#                       Aspect Ratio, AR             =      9.00
#
#   CONFIGURATION:      ONERA OAT15A
#                       CRMWB   (Common Research Model Wing/Body)
#                       CRMWBNP (Common Research Model Wing/Body/Nacelle/Pylon)
#
#
#              NOTES:   1. All numerical data fields can be free-formatted.
#                       2. Please use at least 4 decimal places for coordinate values
#                       3. Please use at least 6 decimal places for coefficient values
#                       4. Only include one grid type, grid size, soln method, turb model, etc per form.
#                       5. Fill fields with value of -999 for data that are not available.
#
#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++

TITLE = "014.02"
# Column       1     2     3     4       5      6      7       8       9
VARIABLES =   "X"   "Y"   "Z"   "X/C"   "CP"   "CF"   "CFX"   "CFY"   "CFZ"

#---------------------------------------------------
#   PARTICIPANT, GRID, AND SOLVER INFORMATION
#---------------------------------------------------
DATASETAUXDATA ParticipantID   = "014"
DATASETAUXDATA SubmissionDate  = "5th Nov,2024"
DATASETAUXDATA Name            = "Kartik Venkatraman, Adithya Udupa"
DATASETAUXDATA Email           = "kartik@iisc.ac.in, adithyaudupa3@gmail.com"
DATASETAUXDATA Institution     = "Indian Institute of Science"
DATASETAUXDATA SolverName      = "SU2 8.0.1 'Harrier'"
DATASETAUXDATA BasicAlgorithm  = "RANS"
DATASETAUXDATA TurbulenceModel = "SA Edwards"
DATASETAUXDATA GridId          = "Hybrid"
DATASETAUXDATA Notes           = "Periodic boundary condition is applied "



ZONE T="014.02 - ALPHA 3.1 - GRID L1 - WING SECTION  1"
AUXDATA GridLevel       = "1"
AUXDATA Mach            = "0.73"
AUXDATA Re              = "3e6"
AUXDATA Alpha           = "3.1"
AUXDATA Tstatic         = "-999"
AUXDATA CLtotal         = "0.96841722"
AUXDATA Eta             = "-999"
AUXDATA Dt              = "-999"
AUXDATA CtuStart        = "-999"
AUXDATA CtuAvg          = "-999"
AUXDATA GridFileName    = "ONERA-OAT15A_230mmChord_780mmSpan_upZ_2024_09_05_Unstructured_Level-1.cgns"
X                    Y                    Z                    X/C                  CP                   CF                   CFX                  CFY                  CFZ                 
0.23                 -0.0115              0.00044724           -1.0                 0.0931451            0.00060226           0.0                  0.0                  0.00060226          
0.23                 -0.0115              0.00031956           -1.0                 0.0428656            9.56e-05             0.0                  0.0                  9.56e-05            
0.23                 -0.0115              0.00057493           -1.0                 0.0956793            0.00070301           -0.00044687          0.0                  0.00054271          
0.229875             -0.0115              0.00059944           -0.99945652          0.16216              0.00065565           -0.00064346          0.0                  0.00012585          
0.229743             -0.0115              0.00062517           -0.99888261          0.195344             0.00045424           -0.00044579          0.0                  8.72e-05            
0.229605             -0.0115              0.00065222           -0.99828261          0.226558             0.00045226           -0.00044383          0.0                  8.69e-05            
0.22946              -0.0115              0.00068062           -0.99765217          0.255414             0.00044795           -0.0004396           0.0                  8.61e-05            
0.229308             -0.0115              0.00071044           -0.9969913           0.273175             0.00044423           -0.00043596          0.0                  8.53e-05            
0.229148             -0.0115              0.00074172           -0.99629565          0.28411              0.00040322           -0.00039572          -0.0                 7.74e-05            
0.22898              -0.0115              0.00077456           -0.99556522          0.284513             0.00040676           -0.0003992           -0.0                 7.8e-05             
0.00042795           -0.0115              0.00180997           -0.00186063          0.354658             0.00813395           0.00327844           -0.0                 0.00744398          
0.00056584           -0.0115              0.00210271           -0.00246017          0.243362             0.00841812           0.00379027           0.0                  0.00751656          
0.00031128           -0.0115              0.00152472           -0.00135339          0.458701             0.00775301           0.0027512            0.0                  0.00724845          
0.168928             -0.0115              -0.00135766          -0.73446957          0.293182             0.00128881           0.00127616           -0.0                 0.00018008          
0.166644             -0.0115              -0.00168583          -0.72453913          0.248631             0.00129658           0.00128299           0.0                  0.00018719          
0.171212             -0.0115              -0.00104121          -0.7444              0.346316             0.00130636           0.00129452           -0.0                 0.00017542          
0.173497             -0.0115              -0.00073839          -0.75433478          0.389022             0.00132276           0.00131188           -0.0                 0.00016931          
0.175784             -0.0115              -0.00045121          -0.76427826          0.40254              0.00132007           0.0013104            -0.0                 0.0001595           
0.178071             -0.0115              -0.00018166          -0.77422174          0.381907             0.00128858           0.00128036           0.0                  0.00014534          
0.18036              -0.0115              6.82e-05             -0.78417391          0.35                 0.0012338            0.00122712           0.0                  0.00012819          
0.182649             -0.0115              0.00029662           -0.79412609          0.322238             0.00118717           0.00118189           0.0                  0.00011183          
0.228788             -0.0115              -0.00043696          -0.99473043          0.261397             0.00258236           0.00256666           0.0                  -0.00028433         
0.228601             -0.0115              -0.00041627          -0.99391739          0.189673             0.00241185           0.00239742           -0.0                 -0.00026344         
0.228967             -0.0115              -0.00045682          -0.9955087           0.194797             0.00339331           0.00337236           0.0                  -0.0003765          
0.229137             -0.0115              -0.00047588          -0.99624783          0.0448737            0.00482035           0.00479016           0.0                  -0.0005386          
0.229299             -0.0115              -0.00049415          -0.99695217          -0.177516            0.00598309           0.00594515           -0.0                 -0.00067273         
0.229453             -0.0115              -0.00051165          -0.99762174          -0.290382            0.00596084           0.00592263           -0.0                 -0.00067383         
0.2296               -0.0115              -0.0005284           -0.99826087          -0.253865            0.00486047           0.00482906           -0.0                 -0.00055166         
0.224421             -0.0115              0.00165581           -0.97574348          -0.556662            5.75e-05             -5.65e-05            -0.0                 1.08e-05            
0.224807             -0.0115              0.0015822            -0.97742174          -0.568191            7.77e-05             -7.63e-05            -0.0                 1.46e-05            
0.224017             -0.0115              0.00173292           -0.97398696          -0.539028            4.35e-05             -4.28e-05            0.0                  8.15e-06            
0.223592             -0.0115              0.00181371           -0.97213913          -0.502497            4.02e-05             -3.95e-05            -0.0                 7.51e-06            
0.034706             -0.0115              0.0125437            -0.15089565          -1.4197              0.00520785           0.00517524           -0.0                 0.00058188          
0.0368631            -0.0115              0.0127792            -0.16027435          -1.41803             0.0051954            0.00516654           -0.0                 0.00054682          
0.0326532            -0.0115              0.0123058            -0.14197043          -1.42115             0.00521937           0.00518266           0.0                  0.00061794          
0.159557             -0.0115              0.0125158            -0.69372609          -0.25468             0.00038688           0.00038448           0.0                  -4.31e-05           
