#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
#
# DPW-8/AePW-4 SECTIONAL CUT SUBMITTAL FORM (Version 5 - October 16, 2024)
#
# Provide this file for steady-state or time-averaged sectional cuts
#
#
#
# Data Set Title XXX.YY: Replace "XXX.YY" in the zone titles with the following information
#                     (Three-Digit Participant ID).(Two-Digit Submission ID)
#                     XXX  THREE-DIGIT PARTICIPANT ID: assigned by your working group leaders
#                     YY   TWO-DIGIT  SUBMISSION ID:  (self assigned) label a solver/grid/computational approach
#                     K.KK ALPHA: Angle of attack for the solution
#                     L    GRID LEVEL: 1, 2, 3, 4, 5, or 6
#                     EXAMPLE: 007.02 - ALPHA 2.50 - GRID 3 - WING SECTION  1
#
# 
#       NOMENCLATURE:
#                  X:   X coordinate
#                  Y:   Y coordinate
#                  Z:   Z coordinate
#                X/C:   Chord Fraction = (X - X_LE)/CHORD
#                 CP:   Coefficient of pressure
#                 CF:   Skin-friction coefficient at wall [tauw/(freestream dynamic pressure)]
#        CFX,CFY,CFZ:   Components of skin-friction coefficient at wall
#                   
#        DEFINITIONS:   CTU --> Convective Time Unit  (Uinf/Cref is 1.00 CTU)
#
#   REFERENCE VALUES: ONERA OAT15A (ONE CELL WIDE)
#                       Planform ref area, A         =  Cref * span (span is grid dependent)
#                       Mean aerodynamic chord, Cref =    230.00 mm
#                       x moment center              =     57.50 mm
#                       y moment center              =      0.00 mm
#                       z moment center              =      0.00 mm
#
#   REFERENCE VALUES: Common Research Model
#                       Planform ref area, A         = 594720.00 inches^2
#                       Mean aerodynamic chord, Cref =    275.80 inches
#                       Full-span length, B          =   2313.50 inches
#                       Semi-span length, BO2        =   1156.75 inches
#                       x moment center              =   1325.90 inches
#                       y moment center              =      0.00 inches
#                       z moment center              =    177.95 inches
#                       Aspect Ratio, AR             =      9.00
#
#   CONFIGURATION:      ONERA OAT15A
#                       CRMWB   (Common Research Model Wing/Body)
#                       CRMWBNP (Common Research Model Wing/Body/Nacelle/Pylon)
#
#
#              NOTES:   1. All numerical data fields can be free-formatted.
#                       2. Please use at least 4 decimal places for coordinate values
#                       3. Please use at least 6 decimal places for coefficient values
#                       4. Only include one grid type, grid size, soln method, turb model, etc per form.
#                       5. Fill fields with value of -999 for data that are not available.
#
#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++

TITLE = "014.01"
# Column       1     2     3     4       5      6      7       8       9
VARIABLES =   "X"   "Y"   "Z"   "X/C"   "CP"   "CF"   "CFX"   "CFY"   "CFZ"

#---------------------------------------------------
#   PARTICIPANT, GRID, AND SOLVER INFORMATION
#---------------------------------------------------
DATASETAUXDATA ParticipantID   = "014"
DATASETAUXDATA SubmissionDate  = "5th Nov,2024"
DATASETAUXDATA Name            = "Kartik Venkatraman, Adithya Udupa"
DATASETAUXDATA Email           = "kartik@iisc.ac.in, adithyaudupa3@gmail.com"
DATASETAUXDATA Institution     = "Indian Institute of Science"
DATASETAUXDATA SolverName      = "SU2 8.0.1 'Harrier'"
DATASETAUXDATA BasicAlgorithm  = "RANS"
DATASETAUXDATA TurbulenceModel = "SA Edwards"
DATASETAUXDATA GridId          = "Hybrid"
DATASETAUXDATA Notes           = "Symmetric boundary condition is applied "



ZONE T="014.01 - ALPHA 2.5 - GRID L2 - WING SECTION  1"
AUXDATA GridLevel       = "2"
AUXDATA Mach            = "0.73"
AUXDATA Re              = "3e6"
AUXDATA Alpha           = "2.5"
AUXDATA Tstatic         = "-999"
AUXDATA CLtotal         = "0.95962294"
AUXDATA Eta             = "-999"
AUXDATA Dt              = "-999"
AUXDATA CtuStart        = "-999"
AUXDATA CtuAvg          = "-999"
AUXDATA GridFileName    = "ONERA-OAT15A_230mmChord_780mmSpan_upZ_2024_09_05_Unstructured_Level-2.cgns"
X                    Y                    Z                    X/C                  CP                   CF                   CFX                  CFY                  CFZ                 
0.135                -0.0115              0.0145681            -0.58695652          -0.820691            0.00061006           -0.00060902          0.0                  3.55e-05            
0.135459             -0.0115              0.0145411            -0.58895217          -0.804711            0.00063441           -0.00063331          0.0                  3.75e-05            
0.135941             -0.0115              0.0145124            -0.59104783          -0.789463            0.00065437           -0.00065319          0.0                  3.92e-05            
0.136448             -0.0115              0.0144817            -0.59325217          -0.775039            0.00066943           -0.00066818          0.0                  4.08e-05            
0.136979             -0.0115              0.014449             -0.59556087          -0.760791            0.00067655           -0.00067526          0.0                  4.19e-05            
0.101821             -0.0115              0.0155846            -0.4427              -1.36552             0.00461782           0.00461775           0.0                  -2.55e-05           
0.102276             -0.0115              0.0155819            -0.44467826          -1.36613             0.0046158            0.00461571           0.0                  -2.84e-05           
0.102731             -0.0115              0.015579             -0.44665652          -1.36678             0.00461396           0.00461386           0.0                  -3.14e-05           
0.103186             -0.0115              0.0155757            -0.44863478          -1.36742             0.00461198           0.00461185           0.0                  -3.43e-05           
0.10364              -0.0115              0.0155722            -0.4506087           -1.3681              0.00461021           0.00461006           0.0                  -3.73e-05           
0.228798             -0.0115              -0.00043805          -0.99477391          0.137723             0.00347182           0.00345069           0.0                  -0.00038244         
0.228654             -0.0115              -0.00042206          -0.99414783          0.143393             0.00340685           0.00338638           0.0                  -0.00037296         
0.228502             -0.0115              -0.00040538          -0.99348696          0.148902             0.00334744           0.00332758           0.0                  -0.00036413         
0.228342             -0.0115              -0.00038797          -0.9927913           0.154278             0.0032925            0.00327322           0.0                  -0.00035585         
0.228175             -0.0115              -0.00036982          -0.99206522          0.15956              0.00324113           0.0032224            0.0                  -0.000348           
0.227999             -0.0115              -0.00035088          -0.9913              0.164764             0.00319251           0.00317431           0.0                  -0.00034048         
0.227814             -0.0115              -0.00033113          -0.99049565          0.169914             0.0031463            0.0031286            0.0                  -0.00033322         
0.22762              -0.0115              -0.00031054          -0.98965217          0.175018             0.00310216           0.00308497           0.0                  -0.00032617         
0.227416             -0.0115              -0.00028907          -0.98876522          0.180095             0.00305966           0.00304295           0.0                  -0.0003193          
0.0488823            -0.0115              0.013864             -0.21253174          -1.34436             0.00504644           0.00503182           0.0                  0.00038389          
0.0503798            -0.0115              0.0139759            -0.21904261          -1.34378             0.00502917           0.00501575           0.0                  0.00036712          
0.0518779            -0.0115              0.0140832            -0.22555609          -1.34334             0.00501283           0.00500053           0.0                  0.00035096          
0.0702995            -0.0115              -0.0131259           -0.30565             -0.255661            0.00398133           0.00398089           0.0                  5.92e-05            
0.0687632            -0.0115              -0.0131448           -0.29897043          -0.254763            0.00400593           0.00400574           0.0                  3.89e-05            
0.067227             -0.0115              -0.0131557           -0.2922913           -0.253145            0.00402897           0.00402893           0.0                  1.82e-05            
0.0656908            -0.0115              -0.0131586           -0.28561217          -0.250854            0.00404899           0.00404899           0.0                  -2.82e-06           
0.0641547            -0.0115              -0.0131536           -0.27893348          -0.247941            0.00406725           0.00406718           0.0                  -2.42e-05           
0.0320099            -0.0115              -0.0110366           -0.13917348          -0.0438971           0.00383268           0.00379831           0.0                  -0.00051212         
0.0304907            -0.0115              -0.0108259           -0.13256826          -0.0258033           0.00376494           0.00372721           0.0                  -0.00053167         
0.0289733            -0.0115              -0.0106034           -0.12597087          -0.00680219          0.00368679           0.00364564           0.0                  -0.00054934         
0.0274579            -0.0115              -0.0103689           -0.11938217          0.0129414            0.00359859           0.00355396           0.0                  -0.00056502         
0.0259446            -0.0115              -0.0101219           -0.11280261          0.0336348            0.00349714           0.00344905           0.0                  -0.00057795         
0.0244476            -0.0115              -0.00986448          -0.10629391          0.0543768            0.00338905           0.00333753           0.0                  -0.00058869         
0.0230242            -0.0115              -0.00960681          -0.10010522          0.0750707            0.00328536           0.00323026           0.0                  -0.00059917         
0.0216707            -0.0115              -0.00934941          -0.09422043          0.0956052            0.00318997           0.00313114           0.0                  -0.00060982         
