#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
#
# DPW-8/AePW-4 SECTIONAL CUT SUBMITTAL FORM (Version 5 - October 16, 2024)
#
# Provide this file for steady-state or time-averaged sectional cuts
#
#
#
# Data Set Title XXX.YY: Replace "XXX.YY" in the zone titles with the following information
#                     (Three-Digit Participant ID).(Two-Digit Submission ID)
#                     XXX  THREE-DIGIT PARTICIPANT ID: assigned by your working group leaders
#                     YY   TWO-DIGIT  SUBMISSION ID:  (self assigned) label a solver/grid/computational approach
#                     K.KK ALPHA: Angle of attack for the solution
#                     L    GRID LEVEL: 1, 2, 3, 4, 5, or 6
#                     EXAMPLE: 007.02 - ALPHA 2.50 - GRID 3 - WING SECTION  1
#
# 
#       NOMENCLATURE:
#                  X:   X coordinate
#                  Y:   Y coordinate
#                  Z:   Z coordinate
#                X/C:   Chord Fraction = (X - X_LE)/CHORD
#                 CP:   Coefficient of pressure
#                 CF:   Skin-friction coefficient at wall [tauw/(freestream dynamic pressure)]
#        CFX,CFY,CFZ:   Components of skin-friction coefficient at wall
#                   
#        DEFINITIONS:   CTU --> Convective Time Unit  (Uinf/Cref is 1.00 CTU)
#
#   REFERENCE VALUES: ONERA OAT15A (ONE CELL WIDE)
#                       Planform ref area, A         =  Cref * span (span is grid dependent)
#                       Mean aerodynamic chord, Cref =    230.00 mm
#                       x moment center              =     57.50 mm
#                       y moment center              =      0.00 mm
#                       z moment center              =      0.00 mm
#
#   REFERENCE VALUES: Common Research Model
#                       Planform ref area, A         = 594720.00 inches^2
#                       Mean aerodynamic chord, Cref =    275.80 inches
#                       Full-span length, B          =   2313.50 inches
#                       Semi-span length, BO2        =   1156.75 inches
#                       x moment center              =   1325.90 inches
#                       y moment center              =      0.00 inches
#                       z moment center              =    177.95 inches
#                       Aspect Ratio, AR             =      9.00
#
#   CONFIGURATION:      ONERA OAT15A
#                       CRMWB   (Common Research Model Wing/Body)
#                       CRMWBNP (Common Research Model Wing/Body/Nacelle/Pylon)
#
#
#              NOTES:   1. All numerical data fields can be free-formatted.
#                       2. Please use at least 4 decimal places for coordinate values
#                       3. Please use at least 6 decimal places for coefficient values
#                       4. Only include one grid type, grid size, soln method, turb model, etc per form.
#                       5. Fill fields with value of -999 for data that are not available.
#
#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++

TITLE = "014.01"
# Column       1     2     3     4       5      6      7       8       9
VARIABLES =   "X"   "Y"   "Z"   "X/C"   "CP"   "CF"   "CFX"   "CFY"   "CFZ"

#---------------------------------------------------
#   PARTICIPANT, GRID, AND SOLVER INFORMATION
#---------------------------------------------------
DATASETAUXDATA ParticipantID   = "014"
DATASETAUXDATA SubmissionDate  = "5th Nov,2024"
DATASETAUXDATA Name            = "Kartik Venkatraman, Adithya Udupa"
DATASETAUXDATA Email           = "kartik@iisc.ac.in, adithyaudupa3@gmail.com"
DATASETAUXDATA Institution     = "Indian Institute of Science"
DATASETAUXDATA SolverName      = "SU2 8.0.1 'Harrier'"
DATASETAUXDATA BasicAlgorithm  = "RANS"
DATASETAUXDATA TurbulenceModel = "SA Edwards"
DATASETAUXDATA GridId          = "Hybrid"
DATASETAUXDATA Notes           = "Symmetric boundary condition is applied "


ZONE T="014.01 - ALPHA 1.5 - GRID L3 - WING SECTION  1"
AUXDATA GridLevel       = "3"
AUXDATA Mach            = "0.73"
AUXDATA Re              = "3e6"
AUXDATA Alpha           = "1.5"
AUXDATA Tstatic         = "-999"
AUXDATA CLtotal         = "0.81306462"
AUXDATA Eta             = "-999"
AUXDATA Dt              = "-999"
AUXDATA CtuStart        = "-999"
AUXDATA CtuAvg          = "-999"
AUXDATA GridFileName    = "ONERA-OAT15A_230mmChord_780mmSpan_upZ_2024_09_05_Unstructured_Level-3.cgns"
X                    Y                    Z                    X/C                  CP                   CF                   CFX                  CFY                  CFZ                 
0.21615              -0.0115              0.00320335           -0.93978261          0.0136734            0.00081928           0.0008057            0.0                  -0.00014853         
0.21687              -0.0115              0.00307051           -0.94291304          0.0186468            0.00080268           0.00078934           0.0                  -0.00014577         
0.215394             -0.0115              0.0033426            -0.93649565          0.00842377           0.00083653           0.00082271           0.0                  -0.00015143         
0.2146               -0.0115              0.00348861           -0.93304348          0.00291637           0.00085436           0.00084028           0.0                  -0.00015444         
0.213766             -0.0115              0.00364171           -0.92941739          -0.00292917          0.00087268           0.00085834           0.0                  -0.00015755         
0.212891             -0.0115              0.00380228           -0.92561304          -0.00908297          0.00089164           0.00087702           0.0                  -0.0001608          
0.211972             -0.0115              0.00397069           -0.92161739          -0.0156192           0.00091127           0.00089636           0.0                  -0.00016417         
0.211007             -0.0115              0.00414737           -0.91742174          -0.0225271           0.00093185           0.00091663           0.0                  -0.00016774         
0.209994             -0.0115              0.00433273           -0.91301739          -0.0298801           0.00095418           0.00093862           0.0                  -0.00017162         
0.20893              -0.0115              0.0045272            -0.9083913           -0.0376219           0.00097736           0.00096145           0.0                  -0.00017565         
0.207812             -0.0115              0.00473123           -0.90353043          -0.0458695           0.00100041           0.00098415           0.0                  -0.00017964         
0.206681             -0.0115              0.00493765           -0.89861304          -0.054341            0.00102382           0.0010072            0.0                  -0.00018371         
0.205551             -0.0115              0.00514374           -0.8937              -0.0629342           0.00104865           0.00103165           0.0                  -0.00018802         
0.204421             -0.0115              0.00534948           -0.88878696          -0.0715975           0.00107347           0.00105611           0.0                  -0.00019231         
0.203293             -0.0115              0.00555486           -0.88388261          -0.0804356           0.00109753           0.00107981           0.0                  -0.00019641         
0.202165             -0.0115              0.00575984           -0.87897826          -0.0894162           0.00112219           0.00110412           0.0                  -0.0002006          
0.201039             -0.0115              0.00596442           -0.87408261          -0.0985358           0.00114779           0.00112935           0.0                  -0.00020492         
0.199913             -0.0115              0.0061686            -0.86918696          -0.107813            0.00117412           0.00115531           0.0                  -0.00020933         
0.198787             -0.0115              0.00637232           -0.8642913           -0.117247            0.00120097           0.00118179           0.0                  -0.00021377         
0.197663             -0.0115              0.00657556           -0.85940435          -0.126827            0.00122839           0.00120885           0.0                  -0.00021825         
0.196539             -0.0115              0.00677828           -0.85451739          -0.136558            0.00125626           0.00123636           0.0                  -0.00022274         
0.195415             -0.0115              0.00698044           -0.84963043          -0.146468            0.00128504           0.00126477           0.0                  -0.00022732         
0.194293             -0.0115              0.007182             -0.84475217          -0.156519            0.00131419           0.00129357           0.0                  -0.00023187         
0.19317              -0.0115              0.0073829            -0.83986957          -0.166818            0.0013443            0.00132333           0.0                  -0.00023647         
0.192048             -0.0115              0.00758307           -0.8349913           -0.177239            0.00137533           0.00135403           0.0                  -0.00024111         
0.190927             -0.0115              0.00778243           -0.83011739          -0.187939            0.00140727           0.00138564           0.0                  -0.00024578         
0.189805             -0.0115              0.00798093           -0.82523913          -0.198804            0.00144081           0.00141885           0.0                  -0.00025056         
0.188684             -0.0115              0.00817846           -0.82036522          -0.209912            0.00147558           0.00145332           0.0                  -0.00025539         
0.187563             -0.0115              0.00837493           -0.8154913           -0.221209            0.00151159           0.00148903           0.0                  -0.00026022         
0.186442             -0.0115              0.00857025           -0.81061739          -0.232792            0.00154948           0.00152662           0.0                  -0.00026514         
0.185321             -0.0115              0.00876426           -0.80574348          -0.244517            0.00158952           0.0015664            0.0                  -0.00027014         
0.1842               -0.0115              0.00895684           -0.80086957          -0.25643             0.0016306            0.00160724           0.0                  -0.00027499         
0.183079             -0.0115              0.00914783           -0.79599565          -0.268531            0.00167365           0.00165009           0.0                  -0.00027983         
0.181958             -0.0115              0.00933707           -0.79112174          -0.280724            0.0017181            0.00169438           0.0                  -0.00028452         
0.180837             -0.0115              0.00952439           -0.78624783          -0.293081            0.00176408           0.00174024           0.0                  -0.00028905         
0.179715             -0.0115              0.00970963           -0.78136957          -0.305459            0.00181127           0.00178736           0.0                  -0.00029332         
