#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
#
# DPW-8/AePW-4 SECTIONAL CUT SUBMITTAL FORM (Version 5 - October 16, 2024)
#
# Provide this file for steady-state or time-averaged sectional cuts
#
#
#
# Data Set Title XXX.YY: Replace "XXX.YY" in the zone titles with the following information
#                     (Three-Digit Participant ID).(Two-Digit Submission ID)
#                     XXX  THREE-DIGIT PARTICIPANT ID: assigned by your working group leaders
#                     YY   TWO-DIGIT  SUBMISSION ID:  (self assigned) label a solver/grid/computational approach
#                     K.KK ALPHA: Angle of attack for the solution
#                     L    GRID LEVEL: 1, 2, 3, 4, 5, or 6
#                     EXAMPLE: 007.02 - ALPHA 2.50 - GRID 3 - WING SECTION  1
#
# 
#       NOMENCLATURE:
#                  X:   X coordinate
#                  Y:   Y coordinate
#                  Z:   Z coordinate
#                X/C:   Chord Fraction = (X - X_LE)/CHORD
#                 CP:   Coefficient of pressure
#                 CF:   Skin-friction coefficient at wall [tauw/(freestream dynamic pressure)]
#        CFX,CFY,CFZ:   Components of skin-friction coefficient at wall
#                   
#        DEFINITIONS:   CTU --> Convective Time Unit  (Uinf/Cref is 1.00 CTU)
#
#   REFERENCE VALUES: ONERA OAT15A (ONE CELL WIDE)
#                       Planform ref area, A         =  Cref * span (span is grid dependent)
#                       Mean aerodynamic chord, Cref =    230.00 mm
#                       x moment center              =     57.50 mm
#                       y moment center              =      0.00 mm
#                       z moment center              =      0.00 mm
#
#   REFERENCE VALUES: Common Research Model
#                       Planform ref area, A         = 594720.00 inches^2
#                       Mean aerodynamic chord, Cref =    275.80 inches
#                       Full-span length, B          =   2313.50 inches
#                       Semi-span length, BO2        =   1156.75 inches
#                       x moment center              =   1325.90 inches
#                       y moment center              =      0.00 inches
#                       z moment center              =    177.95 inches
#                       Aspect Ratio, AR             =      9.00
#
#   CONFIGURATION:      ONERA OAT15A
#                       CRMWB   (Common Research Model Wing/Body)
#                       CRMWBNP (Common Research Model Wing/Body/Nacelle/Pylon)
#
#
#              NOTES:   1. All numerical data fields can be free-formatted.
#                       2. Please use at least 4 decimal places for coordinate values
#                       3. Please use at least 6 decimal places for coefficient values
#                       4. Only include one grid type, grid size, soln method, turb model, etc per form.
#                       5. Fill fields with value of -999 for data that are not available.
#
#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++

TITLE = "014.01"
# Column       1     2     3     4       5      6      7       8       9
VARIABLES =   "X"   "Y"   "Z"   "X/C"   "CP"   "CF"   "CFX"   "CFY"   "CFZ"

#---------------------------------------------------
#   PARTICIPANT, GRID, AND SOLVER INFORMATION
#---------------------------------------------------
DATASETAUXDATA ParticipantID   = "014"
DATASETAUXDATA SubmissionDate  = "5th Nov,2024"
DATASETAUXDATA Name            = "Kartik Venkatraman, Adithya Udupa"
DATASETAUXDATA Email           = "kartik@iisc.ac.in, adithyaudupa3@gmail.com"
DATASETAUXDATA Institution     = "Indian Institute of Science"
DATASETAUXDATA SolverName      = "SU2 8.0.1 'Harrier'"
DATASETAUXDATA BasicAlgorithm  = "RANS"
DATASETAUXDATA TurbulenceModel = "SA Edwards"
DATASETAUXDATA GridId          = "Hybrid"
DATASETAUXDATA Notes           = "Symmetric boundary condition is applied "



ZONE T="014.01 - ALPHA 3 - GRID L4 - WING SECTION  1"
AUXDATA GridLevel       = "4"
AUXDATA Mach            = "0.73"
AUXDATA Re              = "3e6"
AUXDATA Alpha           = "3"
AUXDATA Tstatic         = "-999"
AUXDATA CLtotal         = "0.97458247"
AUXDATA Eta             = "-999"
AUXDATA Dt              = "-999"
AUXDATA CtuStart        = "-999"
AUXDATA CtuAvg          = "-999"
AUXDATA GridFileName    = "ONERA-OAT15A_230mmChord_780mmSpan_upZ_2024_09_05_Unstructured_Level-4.cgns"
X                    Y                    Z                    X/C                  CP                   CF                   CFX                  CFY                  CFZ                 
0.22568              -0.0115              -0.0001126           -0.98121739          0.178429             0.00297968           0.00296537           -1e-08               -0.00029172         
0.225413             -0.0115              -8.65e-05            -0.98005652          0.18364              0.0029436            0.00292973           -1e-08               -0.0002854          
0.225934             -0.0115              -0.00013774          -0.98232174          0.173255             0.00301609           0.00300133           -1e-08               -0.00029804         
0.226176             -0.0115              -0.0001619           -0.98337391          0.168113             0.00305289           0.00303768           -2e-08               -0.00030439         
0.226407             -0.0115              -0.00018512          -0.98437826          0.162997             0.00309015           0.00307449           -2e-08               -0.00031076         
0.226627             -0.0115              -0.00020741          -0.98533478          0.157907             0.00312789           0.00311177           -2e-08               -0.00031712         
0.226836             -0.0115              -0.00022881          -0.98624348          0.152843             0.00316607           0.0031495            -2e-08               -0.00032348         
0.227035             -0.0115              -0.00024934          -0.9871087           0.147804             0.00320469           0.00318768           -2e-08               -0.00032983         
0.227225             -0.0115              -0.00026904          -0.98793478          0.142791             0.00324382           0.00322635           -2e-08               -0.00033617         
0.227405             -0.0115              -0.00028793          -0.98871739          0.137803             0.00328345           0.00326554           -2e-08               -0.00034253         
0.227577             -0.0115              -0.00030603          -0.98946522          0.132837             0.00332368           0.00330531           -2e-08               -0.00034892         
0.227741             -0.0115              -0.00032338          -0.99017826          0.127888             0.00336475           0.00334593           -2e-08               -0.00035539         
0.227897             -0.0115              -0.00034             -0.99085652          0.122952             0.00340689           0.00338761           -2e-08               -0.00036196         
0.228046             -0.0115              -0.00035592          -0.99150435          0.118022             0.00345026           0.00343051           -2e-08               -0.00036863         
0.228187             -0.0115              -0.00037116          -0.99211739          0.113094             0.00349497           0.00347474           -2e-08               -0.00037544         
0.228322             -0.0115              -0.00038576          -0.99270435          0.108161             0.00354114           0.00352043           -2e-08               -0.00038242         
0.22845              -0.0115              -0.00039973          -0.99326087          0.103213             0.00358922           0.00356801           -2e-08               -0.00038962         
0.228572             -0.0115              -0.00041311          -0.9937913           0.0982391            0.00363962           0.0036179            -2e-08               -0.00039708         
0.228689             -0.0115              -0.00042592          -0.9943              0.0932265            0.00369267           0.00367041           -2e-08               -0.00040486         
0.228799             -0.0115              -0.00043817          -0.99477826          0.088161             0.00374876           0.00372594           -2e-08               -0.00041298         
0.228905             -0.0115              -0.0004499           -0.99523913          0.0830276            0.00380865           0.00378525           -2e-08               -0.0004215          
0.229005             -0.0115              -0.00046111          -0.99567391          0.077812             0.00387278           0.00384878           -2e-08               -0.00043044         
0.229101             -0.0115              -0.00047184          -0.9960913           0.0724995            0.0039413            0.00391668           -2e-08               -0.00043979         
0.229192             -0.0115              -0.00048209          -0.99648696          0.067072             0.00401491           0.00398965           -2e-08               -0.00044963         
0.229279             -0.0115              -0.00049189          -0.99686522          0.0615049            0.00409478           0.00406884           -2e-08               -0.00046012         
0.229362             -0.0115              -0.00050126          -0.99722609          0.0557638            0.00418261           0.00415596           -3e-08               -0.00047144         
0.22944              -0.0115              -0.0005102           -0.99756522          0.0498152            0.00428132           0.00425389           -3e-08               -0.00048388         
0.229515             -0.0115              -0.00051874          -0.9978913           0.0435796            0.0043918            0.00436353           -3e-08               -0.00049749         
0.229587             -0.0115              -0.00052689          -0.99820435          0.0371062            0.00452239           0.00449318           -3e-08               -0.00051323         
0.229655             -0.0115              -0.00053466          -0.9985              0.0299994            0.00466723           0.00463699           -3e-08               -0.00053046         
0.22972              -0.0115              -0.00054208          -0.99878261          0.0231276            0.00486294           0.00483136           -3e-08               -0.00055335         
0.229781             -0.0115              -0.00054914          -0.99904783          0.0132829            0.00497919           0.00494679           -3e-08               -0.00056708         
0.22984              -0.0115              -0.00055588          -0.99930435          0.00786937           0.00526272           0.00522844           -3e-08               -0.00059976         
0.229896             -0.0115              -0.0005623           -0.99954783          0.00070963           0.00629274           0.00625171           -3e-08               -0.00071745         
0.229949             -0.0115              -0.00056842          -0.99977826          0.0182328            0.00978433           0.0097205            -3e-08               -0.0011158          
0.23                 -0.0115              -0.00057424          -1.0                 -0.212378            0.00210078           0.00161742           -1e-08               0.00134061          
0.23                 -0.0115              -0.00052636          -1.0                 -0.0237615           0.0074446            0.0                  -6e-08               -0.0074446          
0.23                 -0.0115              -0.00047848          -1.0                 -0.0248516           0.00383216           0.0                  -7e-08               -0.00383216         
0.23                 -0.0115              -0.00043059          -1.0                 -0.0179819           0.00166968           0.0                  -6e-08               -0.00166968         
0.23                 -0.0115              -0.00038271          -1.0                 -0.0175229           0.00083918           0.0                  -5e-08               -0.00083918         
0.23                 -0.0115              -0.00033483          -1.0                 -0.0166241           0.00062164           0.0                  -5e-08               -0.00062164         
