#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
#
# DPW-8/AePW-4 SECTIONAL CUT SUBMITTAL FORM (Version 5 - October 16, 2024)
#
# Provide this file for steady-state or time-averaged sectional cuts
#
#
#
# Data Set Title XXX.YY: Replace "XXX.YY" in the zone titles with the following information
#                     (Three-Digit Participant ID).(Two-Digit Submission ID)
#                     XXX  THREE-DIGIT PARTICIPANT ID: assigned by your working group leaders
#                     YY   TWO-DIGIT  SUBMISSION ID:  (self assigned) label a solver/grid/computational approach
#                     K.KK ALPHA: Angle of attack for the solution
#                     L    GRID LEVEL: 1, 2, 3, 4, 5, or 6
#                     EXAMPLE: 007.02 - ALPHA 2.50 - GRID 3 - WING SECTION  1
#
# 
#       NOMENCLATURE:
#                  X:   X coordinate
#                  Y:   Y coordinate
#                  Z:   Z coordinate
#                X/C:   Chord Fraction = (X - X_LE)/CHORD
#                 CP:   Coefficient of pressure
#                 CF:   Skin-friction coefficient at wall [tauw/(freestream dynamic pressure)]
#        CFX,CFY,CFZ:   Components of skin-friction coefficient at wall
#                   
#        DEFINITIONS:   CTU --> Convective Time Unit  (Uinf/Cref is 1.00 CTU)
#
#   REFERENCE VALUES: ONERA OAT15A (ONE CELL WIDE)
#                       Planform ref area, A         =  Cref * span (span is grid dependent)
#                       Mean aerodynamic chord, Cref =    230.00 mm
#                       x moment center              =     57.50 mm
#                       y moment center              =      0.00 mm
#                       z moment center              =      0.00 mm
#
#   REFERENCE VALUES: Common Research Model
#                       Planform ref area, A         = 594720.00 inches^2
#                       Mean aerodynamic chord, Cref =    275.80 inches
#                       Full-span length, B          =   2313.50 inches
#                       Semi-span length, BO2        =   1156.75 inches
#                       x moment center              =   1325.90 inches
#                       y moment center              =      0.00 inches
#                       z moment center              =    177.95 inches
#                       Aspect Ratio, AR             =      9.00
#
#   CONFIGURATION:      ONERA OAT15A
#                       CRMWB   (Common Research Model Wing/Body)
#                       CRMWBNP (Common Research Model Wing/Body/Nacelle/Pylon)
#
#
#              NOTES:   1. All numerical data fields can be free-formatted.
#                       2. Please use at least 4 decimal places for coordinate values
#                       3. Please use at least 6 decimal places for coefficient values
#                       4. Only include one grid type, grid size, soln method, turb model, etc per form.
#                       5. Fill fields with value of -999 for data that are not available.
#
#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++

TITLE = "014.01"
# Column       1     2     3     4       5      6      7       8       9
VARIABLES =   "X"   "Y"   "Z"   "X/C"   "CP"   "CF"   "CFX"   "CFY"   "CFZ"

#---------------------------------------------------
#   PARTICIPANT, GRID, AND SOLVER INFORMATION
#---------------------------------------------------
DATASETAUXDATA ParticipantID   = "014"
DATASETAUXDATA SubmissionDate  = "5th Nov,2024"
DATASETAUXDATA Name            = "Kartik Venkatraman, Adithya Udupa"
DATASETAUXDATA Email           = "kartik@iisc.ac.in, adithyaudupa3@gmail.com"
DATASETAUXDATA Institution     = "Indian Institute of Science"
DATASETAUXDATA SolverName      = "SU2 8.0.1 'Harrier'"
DATASETAUXDATA BasicAlgorithm  = "RANS"
DATASETAUXDATA TurbulenceModel = "SA Edwards"
DATASETAUXDATA GridId          = "Hybrid"
DATASETAUXDATA Notes           = "Symmetric boundary condition is applied "



ZONE T="014.01 - ALPHA 3 - GRID L1 - WING SECTION  1"
AUXDATA GridLevel       = "1"
AUXDATA Mach            = "0.73"
AUXDATA Re              = "3e6"
AUXDATA Alpha           = "3"
AUXDATA Tstatic         = "-999"
AUXDATA CLtotal         = "0.91630929"
AUXDATA Eta             = "-999"
AUXDATA Dt              = "-999"
AUXDATA CtuStart        = "-999"
AUXDATA CtuAvg          = "-999"
AUXDATA GridFileName    = "ONERA-OAT15A_230mmChord_780mmSpan_upZ_2024_09_05_Unstructured_Level-1.cgns"
X                    Y                    Z                    X/C                  CP                   CF                   CFX                  CFY                  CFZ                 
0.095                -0.0115              0.01559              -0.41304348          -1.38426             0.00465877           0.00465873           -0.0                 1.82e-05            
0.09569              -0.0115              0.0155924            -0.41604348          -1.38494             0.00465429           0.00465427           -0.0                 1.37e-05            
0.09638              -0.0115              0.0155941            -0.41904348          -1.3856              0.0046504            0.00465039           0.0                  9.32e-06            
0.09707              -0.0115              0.0155951            -0.42204348          -1.38633             0.00464674           0.00464674           -0.0                 4.9e-06             
0.0471169            -0.0115              -0.0125403           -0.20485609          -0.171188            0.00414865           0.00413928           0.0                  -0.00027877         
0.0448206            -0.0115              -0.0123754           -0.19487217          -0.155231            0.00413285           0.00412082           0.0                  -0.00031518         
0.042527             -0.0115              -0.0121893           -0.1849              -0.137852            0.00411128           0.00409617           0.0                  -0.00035215         
0.0402365            -0.0115              -0.0119812           -0.1749413           -0.11848             0.00407676           0.00405818           0.0                  -0.0003888          
0.0379696            -0.0115              -0.0117526           -0.16508522          -0.0980915           0.00403394           0.00401155           0.0                  -0.0004244          
0.035813             -0.0115              -0.0115133           -0.1557087           -0.0767459           0.00398041           0.00395395           0.0                  -0.00045818         
0.0337614            -0.0115              -0.011265            -0.1467887           -0.0546568           0.00391612           0.00388548           0.0                  -0.00048893         
0.226997             -0.0115              -0.00024545          -0.98694348          0.126792             0.00328075           0.00326312           4.16e-05             -0.00033714         
0.22672              -0.0115              -0.00021694          -0.98573913          0.134186             0.0032248            0.00320782           4e-05                -0.00032803         
0.226429             -0.0115              -0.00018732          -0.98447391          0.141488             0.0031706            0.00315427           3.85e-05             -0.00031906         
0.226123             -0.0115              -0.00015657          -0.98314348          0.148697             0.00311826           0.00310256           3.69e-05             -0.00031026         
0.225802             -0.0115              -0.00012464          -0.98174783          0.155842             0.00306767           0.0030526            3.54e-05             -0.00030164         
0.225465             -0.0115              -9.15e-05            -0.98028261          0.162938             0.00301827           0.00300381           3.4e-05              -0.00029316         
0.225111             -0.0115              -5.72e-05            -0.97874348          0.169987             0.00296997           0.0029561            3.25e-05             -0.0002848          
0.112249             -0.0115              0.0154494            -0.48803913          -1.37045             0.00386511           0.00386403           -4.51e-05            -7.95e-05           
0.112939             -0.0115              0.0154349            -0.49103913          -1.3359              0.00335273           0.00335062           -9.42e-05            -7.24e-05           
0.113628             -0.0115              0.0154196            -0.49403478          -1.28911             0.00281912           0.00281352           -0.00016578          -6.37e-05           
0.114318             -0.0115              0.0154036            -0.49703478          -1.23616             0.00229622           0.00228213           -0.00024814          -5.4e-05            
0.115008             -0.0115              0.0153869            -0.50003478          -1.17923             0.00175534           0.00172479           -0.00032325          -4.27e-05           
0.115698             -0.0115              0.0153695            -0.50303478          -1.11748             0.00121129           0.00115159           -0.00037441          -2.97e-05           
0.116388             -0.0115              0.0153514            -0.50603478          -1.05353             0.00075197           0.00064074           -0.00039321          -1.72e-05           
0.00395807           -0.0115              -0.00402498          -0.017209            0.690978             0.00331769           0.00297492           0.0                  -0.00146863         
0.00351023           -0.0115              -0.00379806          -0.01526187          0.723872             0.00337181           0.00299058           0.0                  -0.00155742         
0.00308876           -0.0115              -0.00357226          -0.01342939          0.758025             0.00342511           0.00299852           0.0                  -0.00165537         
0.00269305           -0.0115              -0.00334693          -0.01170891          0.793983             0.00347679           0.0029962            0.0                  -0.00176378         
0.00232268           -0.0115              -0.0031213           -0.01009861          0.831723             0.00351393           0.00297045           0.0                  -0.00187727         
0.0019774            -0.0115              -0.00289465          -0.00859739          0.871598             0.0035324            0.00291574           0.0                  -0.00199407         
0.00165721           -0.0115              -0.00266618          -0.00720526          0.913431             0.00350891           0.00281089           0.0                  -0.00210031         
0.00136236           -0.0115              -0.00243509          -0.0059233           0.956973             0.00343131           0.00264577           0.0                  -0.0021849          
0.0180357            -0.0115              -0.00858993          -0.07841609          0.171969             0.00299556           0.00292303           0.0                  -0.0006552          
0.0168582            -0.0115              -0.00831925          -0.07329652          0.195751             0.00296976           0.00289067           0.0                  -0.00068082         
0.0157396            -0.0115              -0.00804914          -0.06843304          0.220298             0.00296042           0.00287378           0.0                  -0.00071095         
0.23                 -0.0115              0.00044724           -1.0                 -0.0426648           0.00040904           0.0                  9.68e-05             -0.00039741         
0.23                 -0.0115              0.00031956           -1.0                 -0.0383332           0.00028762           0.0                  9.96e-05             -0.00026983         
