#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
#
# DPW-8/AePW-4 SECTIONAL CUT SUBMITTAL FORM (Version 5 - October 16, 2024)
#
# Provide this file for steady-state or time-averaged sectional cuts
#
#
#
# Data Set Title XXX.YY: Replace "XXX.YY" in the zone titles with the following information
#                     (Three-Digit Participant ID).(Two-Digit Submission ID)
#                     XXX  THREE-DIGIT PARTICIPANT ID: assigned by your working group leaders
#                     YY   TWO-DIGIT  SUBMISSION ID:  (self assigned) label a solver/grid/computational approach
#                     K.KK ALPHA: Angle of attack for the solution
#                     L    GRID LEVEL: 1, 2, 3, 4, 5, or 6
#                     EXAMPLE: 007.02 - ALPHA 2.50 - GRID 3 - WING SECTION  1
#
# 
#       NOMENCLATURE:
#                  X:   X coordinate
#                  Y:   Y coordinate
#                  Z:   Z coordinate
#                X/C:   Chord Fraction = (X - X_LE)/CHORD
#                 CP:   Coefficient of pressure
#                 CF:   Skin-friction coefficient at wall [tauw/(freestream dynamic pressure)]
#        CFX,CFY,CFZ:   Components of skin-friction coefficient at wall
#                   
#        DEFINITIONS:   CTU --> Convective Time Unit  (Uinf/Cref is 1.00 CTU)
#
#   REFERENCE VALUES: ONERA OAT15A (ONE CELL WIDE)
#                       Planform ref area, A         =  Cref * span (span is grid dependent)
#                       Mean aerodynamic chord, Cref =    230.00 mm
#                       x moment center              =     57.50 mm
#                       y moment center              =      0.00 mm
#                       z moment center              =      0.00 mm
#
#   REFERENCE VALUES: Common Research Model
#                       Planform ref area, A         = 594720.00 inches^2
#                       Mean aerodynamic chord, Cref =    275.80 inches
#                       Full-span length, B          =   2313.50 inches
#                       Semi-span length, BO2        =   1156.75 inches
#                       x moment center              =   1325.90 inches
#                       y moment center              =      0.00 inches
#                       z moment center              =    177.95 inches
#                       Aspect Ratio, AR             =      9.00
#
#   CONFIGURATION:      ONERA OAT15A
#                       CRMWB   (Common Research Model Wing/Body)
#                       CRMWBNP (Common Research Model Wing/Body/Nacelle/Pylon)
#
#
#              NOTES:   1. All numerical data fields can be free-formatted.
#                       2. Please use at least 4 decimal places for coordinate values
#                       3. Please use at least 6 decimal places for coefficient values
#                       4. Only include one grid type, grid size, soln method, turb model, etc per form.
#                       5. Fill fields with value of -999 for data that are not available.
#
#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++

TITLE = "014.01"
# Column       1     2     3     4       5      6      7       8       9
VARIABLES =   "X"   "Y"   "Z"   "X/C"   "CP"   "CF"   "CFX"   "CFY"   "CFZ"

#---------------------------------------------------
#   PARTICIPANT, GRID, AND SOLVER INFORMATION
#---------------------------------------------------
DATASETAUXDATA ParticipantID   = "014"
DATASETAUXDATA SubmissionDate  = "5th Nov,2024"
DATASETAUXDATA Name            = "Kartik Venkatraman, Adithya Udupa"
DATASETAUXDATA Email           = "kartik@iisc.ac.in, adithyaudupa3@gmail.com"
DATASETAUXDATA Institution     = "Indian Institute of Science"
DATASETAUXDATA SolverName      = "SU2 8.0.1 'Harrier'"
DATASETAUXDATA BasicAlgorithm  = "RANS"
DATASETAUXDATA TurbulenceModel = "SA Edwards"
DATASETAUXDATA GridId          = "Hybrid"
DATASETAUXDATA Notes           = "Symmetric boundary condition is applied "



ZONE T="014.01 - ALPHA 3.1 - GRID L1 - WING SECTION  1"
AUXDATA GridLevel       = "1"
AUXDATA Mach            = "0.73"
AUXDATA Re              = "3e6"
AUXDATA Alpha           = "3.1"
AUXDATA Tstatic         = "-999"
AUXDATA CLtotal         = "0.90011022"
AUXDATA Eta             = "-999"
AUXDATA Dt              = "-999"
AUXDATA CtuStart        = "-999"
AUXDATA CtuAvg          = "-999"
AUXDATA GridFileName    = "ONERA-OAT15A_230mmChord_780mmSpan_upZ_2024_09_05_Unstructured_Level-1.cgns"
X                    Y                    Z                    X/C                  CP                   CF                   CFX                  CFY                  CFZ                 
0.0306997            -0.0115              0.012066             -0.13347696          -1.3886              0.00523651           0.00519526           0.0                  0.00065596          
0.0326532            -0.0115              0.0123058            -0.14197043          -1.38722             0.00523115           0.00519436           0.0                  0.00061934          
0.034706             -0.0115              0.0125437            -0.15089565          -1.38563             0.00521889           0.00518621           0.0                  0.00058312          
0.0368631            -0.0115              0.0127792            -0.16027435          -1.38391             0.00520014           0.00517126           0.0                  0.00054732          
0.0391295            -0.0115              0.0130118            -0.17012826          -1.38184             0.0051779            0.00515244           0.0                  0.00051282          
0.0414189            -0.0115              0.0132326            -0.18008217          -1.38049             0.00515452           0.00513212           0.0                  0.00047994          
0.0437107            -0.0115              0.0134403            -0.19004652          -1.37936             0.0051298            0.00511011           -0.0                 0.00044907          
0.0460046            -0.0115              0.0136356            -0.20002             -1.37835             0.00510122           0.00508391           0.0                  0.00041978          
0.0483001            -0.0115              0.0138192            -0.21000043          -1.3773              0.00507397           0.00505878           0.0                  0.0003923           
0.0505967            -0.0115              0.0139917            -0.21998565          -1.37623             0.00504489           0.00503159           0.0                  0.00036616          
0.0528941            -0.0115              0.0141535            -0.22997435          -1.37532             0.00501949           0.00500785           0.0                  0.0003416           
0.0551919            -0.0115              0.0143052            -0.23996478          -1.37456             0.00499249           0.00498235           0.0                  0.0003181           
0.0574897            -0.0115              0.0144469            -0.24995522          -1.374               0.00496913           0.00496031           0.0                  0.00029589          
0.228424             -0.0115              0.00088312           -0.99314783          -0.0631199           0.00033936           -0.00031416          0.00011274           6.13e-05            
0.228618             -0.0115              0.00084517           -0.9939913           -0.0617161           0.00033156           -0.00030624          0.00011211           5.98e-05            
0.228803             -0.0115              0.00080901           -0.99479565          -0.060373            0.00032089           -0.00029528          0.00011159           5.77e-05            
0.193922             -0.0115              0.0072484            -0.84313913          -0.243854            0.0001467            0.00014312           -1.95e-05            -2.56e-05           
0.195761             -0.0115              0.00691825           -0.85113478          -0.235369            0.00010955           0.00010754           -7.83e-06            -1.93e-05           
0.23                 -0.0115              0.00057493           -1.0                 -0.0495122           0.0004085            0.00025595           6.88e-05             -0.00031085         
0.23                 -0.0115              0.00044724           -1.0                 -0.0645928           0.00046354           0.0                  0.00011226           -0.00044974         
0.197513             -0.0115              0.00660261           -0.85875217          -0.227197            7.66e-05             7.53e-05             4e-06                -1.36e-05           
0.229308             -0.0115              0.00071044           -0.9969913           -0.0567294           0.00026379           -0.00023476          0.00011119           4.59e-05            
0.22946              -0.0115              0.00068062           -0.99765217          -0.0556777           0.00023126           -0.00019864          0.00011186           3.89e-05            
0.229605             -0.0115              0.00065222           -0.99828261          -0.0547146           0.0001918            -0.00015178          0.00011343           2.97e-05            
0.229743             -0.0115              0.00062517           -0.99888261          -0.0535389           0.0001592            -0.00010576          0.00011718           2.07e-05            
0.095                -0.0115              0.01559              -0.41304348          -1.38618             0.00465674           0.00465671           0.0                  1.82e-05            
0.09569              -0.0115              0.0155924            -0.41604348          -1.38684             0.00465222           0.0046522            -0.0                 1.37e-05            
0.09638              -0.0115              0.0155941            -0.41904348          -1.38747             0.0046483            0.00464829           -0.0                 9.32e-06            
0.09707              -0.0115              0.0155951            -0.42204348          -1.38816             0.00464458           0.00464458           -0.0                 4.9e-06             
0.201874             -0.0115              0.00118585           -0.87771304          0.353528             0.00163495           0.00163493           4.67e-06             -6.25e-06           
0.200336             -0.0115              0.00118608           -0.87102609          0.35747              0.00158485           0.00158483           4.22e-06             6.35e-06            
0.198722             -0.0115              0.00117322           -0.8640087           0.360876             0.0015337            0.00153358           3.79e-06             1.91e-05            
0.197027             -0.0115              0.00114496           -0.85663913          0.363222             0.00148586           0.00148551           3.4e-06              3.18e-05            
0.195248             -0.0115              0.00109884           -0.84890435          0.364863             0.00144134           0.00144065           3.04e-06             4.46e-05            
0.213961             -0.0115              0.00360604           -0.93026522          -0.141834            0.00019112           -0.0001667           8.83e-05             3.06e-05            
0.214845             -0.0115              0.00344359           -0.9341087           -0.13732             0.00020323           -0.00017816          9.21e-05             3.28e-05            
0.215687             -0.0115              0.00328866           -0.93776957          -0.133035            0.00021464           -0.00018896          9.57e-05             3.48e-05            
0.216489             -0.0115              0.00314086           -0.94125652          -0.128964            0.00022539           -0.00019917          9.89e-05             3.67e-05            
0.0755924            -0.0115              0.0152558            -0.32866261          -1.37508             0.00479331           0.00479103           0.0                  0.00014782          
0.0771732            -0.0115              0.0153027            -0.33553565          -1.37563             0.00478068           0.00477873           -0.0                 0.00013655          
0.0786788            -0.0115              0.015344             -0.34208174          -1.37611             0.00476766           0.004766             0.0                  0.00012595          
0.0801127            -0.0115              0.0153804            -0.34831609          -1.37669             0.00475666           0.00475524           0.0                  0.00011602          
0.0814785            -0.0115              0.0154123            -0.35425435          -1.3772              0.00474538           0.00474418           0.0                  0.00010667          
0.112249             -0.0115              0.0154494            -0.48803913          -0.974812            0.00053961           0.00028396           -0.00045881          -5.84e-06           
0.112939             -0.0115              0.0154349            -0.49103913          -0.92484             0.00041832           4.47e-06             -0.0004183           -1e-07              
0.113628             -0.0115              0.0154196            -0.49403478          -0.881629            0.00041535           -0.00019269          -0.00036792          4.36e-06            
0.114318             -0.0115              0.0154036            -0.49703478          -0.845605            0.00046007           -0.00033282          -0.00031755          7.88e-06            
0.00192873           -0.0115              0.00395728           -0.00838578          -0.445739            0.00875094           0.0061951            -0.0                 0.00618059          
0.0022591            -0.0115              0.00427062           -0.00982217          -0.558927            0.00861503           0.00639967           -0.0                 0.00576741          
0.00262192           -0.0115              0.00458199           -0.01139965          -0.662632            0.00825272           0.00639125           -0.0                 0.00522105          
0.152948             -0.0115              -0.00381011          -0.6649913           0.183552             0.00173774           0.00171578           3.1e-07              0.0002754           
0.150664             -0.0115              -0.0041775           -0.65506087          0.167904             0.00179158           0.00176877           2.7e-07              0.00028496          
0.148381             -0.0115              -0.00454585          -0.64513478          0.152221             0.00186359           0.00183981           2.3e-07              0.00029676          
0.146097             -0.0115              -0.0049143           -0.63520435          0.136336             0.00193546           0.00191081           2e-07                0.00030789          
0.143812             -0.0115              -0.00528206          -0.62526957          0.120343             0.00199052           0.00196533           1.8e-07              0.00031565          
0.141526             -0.0115              -0.00564836          -0.61533043          0.104291             0.002051             0.00202531           1.5e-07              0.00032358          
