#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
#
# DPW-8/AePW-4 SECTIONAL CUT SUBMITTAL FORM (Version 5 - October 16, 2024)
#
# Provide this file for steady-state or time-averaged sectional cuts
#
#
#
# Data Set Title XXX.YY: Replace "XXX.YY" in the zone titles with the following information
#                     (Three-Digit Participant ID).(Two-Digit Submission ID)
#                     XXX  THREE-DIGIT PARTICIPANT ID: assigned by your working group leaders
#                     YY   TWO-DIGIT  SUBMISSION ID:  (self assigned) label a solver/grid/computational approach
#                     K.KK ALPHA: Angle of attack for the solution
#                     L    GRID LEVEL: 1, 2, 3, 4, 5, or 6
#                     EXAMPLE: 007.02 - ALPHA 2.50 - GRID 3 - WING SECTION  1
#
# 
#       NOMENCLATURE:
#                  X:   X coordinate
#                  Y:   Y coordinate
#                  Z:   Z coordinate
#                X/C:   Chord Fraction = (X - X_LE)/CHORD
#                 CP:   Coefficient of pressure
#                 CF:   Skin-friction coefficient at wall [tauw/(freestream dynamic pressure)]
#        CFX,CFY,CFZ:   Components of skin-friction coefficient at wall
#                   
#        DEFINITIONS:   CTU --> Convective Time Unit  (Uinf/Cref is 1.00 CTU)
#
#   REFERENCE VALUES: ONERA OAT15A (ONE CELL WIDE)
#                       Planform ref area, A         =  Cref * span (span is grid dependent)
#                       Mean aerodynamic chord, Cref =    230.00 mm
#                       x moment center              =     57.50 mm
#                       y moment center              =      0.00 mm
#                       z moment center              =      0.00 mm
#
#   REFERENCE VALUES: Common Research Model
#                       Planform ref area, A         = 594720.00 inches^2
#                       Mean aerodynamic chord, Cref =    275.80 inches
#                       Full-span length, B          =   2313.50 inches
#                       Semi-span length, BO2        =   1156.75 inches
#                       x moment center              =   1325.90 inches
#                       y moment center              =      0.00 inches
#                       z moment center              =    177.95 inches
#                       Aspect Ratio, AR             =      9.00
#
#   CONFIGURATION:      ONERA OAT15A
#                       CRMWB   (Common Research Model Wing/Body)
#                       CRMWBNP (Common Research Model Wing/Body/Nacelle/Pylon)
#
#
#              NOTES:   1. All numerical data fields can be free-formatted.
#                       2. Please use at least 4 decimal places for coordinate values
#                       3. Please use at least 6 decimal places for coefficient values
#                       4. Only include one grid type, grid size, soln method, turb model, etc per form.
#                       5. Fill fields with value of -999 for data that are not available.
#
#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++

TITLE = "014.02"
# Column       1     2     3     4       5      6      7       8       9
VARIABLES =   "X"   "Y"   "Z"   "X/C"   "CP"   "CF"   "CFX"   "CFY"   "CFZ"

#---------------------------------------------------
#   PARTICIPANT, GRID, AND SOLVER INFORMATION
#---------------------------------------------------
DATASETAUXDATA ParticipantID   = "014"
DATASETAUXDATA SubmissionDate  = "5th Nov,2024"
DATASETAUXDATA Name            = "Kartik Venkatraman, Adithya Udupa"
DATASETAUXDATA Email           = "kartik@iisc.ac.in, adithyaudupa3@gmail.com"
DATASETAUXDATA Institution     = "Indian Institute of Science"
DATASETAUXDATA SolverName      = "SU2 8.0.1 'Harrier'"
DATASETAUXDATA BasicAlgorithm  = "RANS"
DATASETAUXDATA TurbulenceModel = "SA Edwards"
DATASETAUXDATA GridId          = "Hybrid"
DATASETAUXDATA Notes           = "Periodic boundary condition is applied "



ZONE T="014.02 - ALPHA 1.36 - GRID L2 - WING SECTION  1"
AUXDATA GridLevel       = "2"
AUXDATA Mach            = "0.73"
AUXDATA Re              = "3e6"
AUXDATA Alpha           = "1.36"
AUXDATA Tstatic         = "-999"
AUXDATA CLtotal         = "0.78218318"
AUXDATA Eta             = "-999"
AUXDATA Dt              = "-999"
AUXDATA CtuStart        = "-999"
AUXDATA CtuAvg          = "-999"
AUXDATA GridFileName    = "ONERA-OAT15A_230mmChord_780mmSpan_upZ_2024_09_05_Unstructured_Level-2.cgns"
X                    Y                    Z                    X/C                  CP                   CF                   CFX                  CFY                  CFZ                 
0.227416             -0.0115              -0.00028907          -0.98876522          0.213142             0.0027925            0.00277725           -0.0                 -0.00029142         
0.227202             -0.0115              -0.00026671          -0.98783478          0.217398             0.00275616           0.00274134           -0.0                 -0.00028539         
0.22762              -0.0115              -0.00031054          -0.98965217          0.208863             0.00283004           0.00281435           -0.0                 -0.00029756         
0.227814             -0.0115              -0.00033113          -0.99049565          0.204554             0.00286917           0.00285304           0.0                  -0.00030387         
0.227999             -0.0115              -0.00035088          -0.9913              0.200198             0.00291033           0.00289373           -0.0                 -0.00031038         
0.228175             -0.0115              -0.00036982          -0.99206522          0.195787             0.00295383           0.00293676           0.0                  -0.00031715         
0.228342             -0.0115              -0.00038797          -0.9927913           0.191301             0.00300003           0.00298246           0.0                  -0.00032424         
0.228502             -0.0115              -0.00040538          -0.99348696          0.186721             0.00304968           0.00303158           -0.0                 -0.00033174         
0.228654             -0.0115              -0.00042206          -0.99414783          0.182016             0.00310366           0.00308501           -0.0                 -0.00033977         
0.14313              -0.0115              0.0140308            -0.62230435          -0.574071            0.00285165           0.00284384           0.0                  -0.00021093         
0.143995             -0.0115              0.013966             -0.62606522          -0.573178            0.00286797           0.00285973           -0.0                 -0.00021722         
0.142306             -0.0115              0.0140912            -0.61872174          -0.574755            0.00283176           0.00282435           0.0                  -0.00020473         
0.141521             -0.0115              0.0141474            -0.6153087           -0.575342            0.00281236           0.00280532           -0.0                 -0.0001989          
0.140774             -0.0115              0.0141999            -0.61206087          -0.575604            0.00279056           0.00278386           -0.0                 -0.00019321         
0.117759             -0.0115              -0.00920676          -0.51199565          -0.0690346           0.00261051           0.002587             -0.0                 0.0003496           
0.116235             -0.0115              -0.00941086          -0.50536957          -0.0805665           0.00265777           0.00263468           -0.0                 0.00034964          
0.119282             -0.0115              -0.00899909          -0.51861739          -0.0574705           0.00256333           0.00253944           -0.0                 0.00034912          
0.120805             -0.0115              -0.00878798          -0.52523913          -0.0458775           0.00251621           0.002492             -0.0                 0.00034821          
0.0850747            -0.0115              0.0154841            -0.36989             -1.14973             0.00465499           0.00465428           0.0                  8.15e-05            
0.0859853            -0.0115              0.0154994            -0.37384913          -1.14984             0.00464867           0.00464806           0.0                  7.55e-05            
0.0841185            -0.0115              0.0154667            -0.36573261          -1.14973             0.00466235           0.00466153           0.0                  8.77e-05            
0.00392297           -0.0115              -0.00400761          -0.01705639          0.546393             0.00369652           0.0033122            0.0                  -0.00164122         
0.00354192           -0.0115              -0.00381453          -0.01539965          0.574541             0.00377843           0.00335427           0.0                  -0.00173937         
0.00432655           -0.0115              -0.00420332          -0.01881109          0.519184             0.00362668           0.00327609           0.0                  -0.00155565         
0.00475355           -0.0115              -0.00440201          -0.02066761          0.492438             0.00356276           0.00324148           -0.0                 -0.00147854         
0.0179985            -0.0115              -0.00858157          -0.07825435          0.0349947            0.00324894           0.00317004           0.0                  -0.00071165         
0.0168938            -0.0115              -0.00832765          -0.0734513           0.0558998            0.00320986           0.00312463           0.0                  -0.00073478         
0.0191609            -0.0115              -0.0088366           -0.08330826          0.0148182            0.00330967           0.00323624           0.0                  -0.00069329         
0.020384             -0.0115              -0.00909261          -0.08862609          -0.00499354          0.00338918           0.00332058           0.0                  -0.00067847         
0.134546             -0.0115              0.0145943            -0.58498261          -0.576373            0.00248679           0.0024827            -0.0                 -0.00014264         
0.135                -0.0115              0.0145681            -0.58695652          -0.576244            0.00251735           0.00251308           0.0                  -0.00014652         
0.135459             -0.0115              0.0145411            -0.58895217          -0.576159            0.0025468            0.00254235           0.0                  -0.00015044         
0.134092             -0.0115              0.0146202            -0.5830087           -0.57656             0.00245484           0.00245092           0.0                  -0.00013875         
0.133638             -0.0115              0.0146457            -0.58103478          -0.576821            0.00242139           0.00241763           0.0                  -0.00013485         
0.133184             -0.0115              0.0146709            -0.57906087          -0.577169            0.00238636           0.00238277           0.0                  -0.00013092         
0.13273              -0.0115              0.0146956            -0.57708696          -0.577619            0.00234965           0.00234622           0.0                  -0.00012697         
0.132276             -0.0115              0.01472              -0.57511304          -0.578191            0.00231122           0.00230794           0.0                  -0.000123           
0.131822             -0.0115              0.014744             -0.57313913          -0.578904            0.00227101           0.00226789           0.0                  -0.00011901         
0.131367             -0.0115              0.0147677            -0.57116087          -0.579781            0.002229             0.00222603           -0.0                 -0.00011501         
0.130913             -0.0115              0.014791             -0.56918696          -0.580843            0.00218509           0.00218227           -0.0                 -0.00011099         
0.130459             -0.0115              0.0148139            -0.56721304          -0.582123            0.00213929           0.00213661           0.0                  -0.00010696         
0.130005             -0.0115              0.0148365            -0.56523913          -0.583642            0.00209163           0.0020891            0.0                  -0.00010292         
0.129551             -0.0115              0.0148587            -0.56326522          -0.585435            0.00204198           0.00203959           0.0                  -9.89e-05           
0.129096             -0.0115              0.0148805            -0.56128696          -0.587538            0.00199037           0.00198811           0.0                  -9.48e-05           
0.140062             -0.0115              0.0142487            -0.60896522          -0.575832            0.00276576           0.00275939           -0.0                 -0.00018762         
0.139384             -0.0115              0.0142944            -0.60601739          -0.576006            0.00274156           0.00273549           -0.0                 -0.00018236         
0.138738             -0.0115              0.014337             -0.6032087           -0.576041            0.00271578           0.00270999           0.0                  -0.00017726         
0.138123             -0.0115              0.0143768            -0.60053478          -0.57607             0.00268894           0.00268341           0.0                  -0.00017233         
0.137537             -0.0115              0.0144141            -0.59798696          -0.576061            0.00266138           0.0026561            -0.0                 -0.0001676          
0.136979             -0.0115              0.014449             -0.59556087          -0.576064            0.00263322           0.00262817           -0.0                 -0.00016304         
0.136448             -0.0115              0.0144817            -0.59325217          -0.576075            0.00260486           0.00260002           0.0                  -0.00015868         
0.135941             -0.0115              0.0145124            -0.59104783          -0.576098            0.00257603           0.00257139           0.0                  -0.00015448         
0.228798             -0.0115              -0.00043805          -0.99477391          0.177152             0.00316303           0.00314378           -0.0                 -0.00034843         
0.228936             -0.0115              -0.00045338          -0.99537391          0.172087             0.00322952           0.00320963           0.0                  -0.00035787         
0.229067             -0.0115              -0.00046805          -0.99594348          0.166778             0.0033044            0.00328382           0.0                  -0.00036819         
0.229192             -0.0115              -0.0004821           -0.99648696          0.161156             0.00338949           0.00336817           -0.0                 -0.00037958         
0.229311             -0.0115              -0.00049555          -0.99700435          0.155227             0.00349148           0.00346932           -0.0                 -0.00039279         
0.229425             -0.0115              -0.00050841          -0.9975              0.148648             0.00360974           0.00358664           -0.0                 -0.00040773         
0.229533             -0.0115              -0.00052071          -0.99796957          0.142064             0.00375567           0.00373148           -0.0                 -0.0004256          
0.229635             -0.0115              -0.00053245          -0.99841304          0.132719             0.00384011           0.00381525           0.0                  -0.00043625         
0.00010219           -0.0115              0.00083927           -0.00044429          0.877847             0.00547056           0.00122606           0.0                  0.0053314           
0.00014982           -0.0115              0.00102907           -0.00065139          0.825093             0.0058569            0.00154096           0.0                  0.00565055          
6.42e-05             -0.0115              0.00065682           -0.00027913          0.926032             0.00507362           0.0009309            0.0                  0.00498749          
3.54e-05             -0.0115              0.00048168           -0.00015391          0.969472             0.00465534           0.00065566           0.0                  0.00460894          
1.54e-05             -0.0115              0.00031383           -6.696e-05           1.0085               0.00420783           0.00040398           0.0                  0.00418839          
0.0442148            -0.0115              -0.0123283           -0.19223826          -0.262663            0.00429353           0.00428022           -0.0                 -0.0003378          
0.0426852            -0.0115              -0.0122028           -0.18558783          -0.25259             0.00428655           0.00427105           0.0                  -0.0003642          
0.0457453            -0.0115              -0.0124443           -0.19889261          -0.271954            0.00429776           0.00428643           0.0                  -0.00031179         
0.0472765            -0.0115              -0.012551            -0.20555             -0.280645            0.00429929           0.00428976           0.0                  -0.00028613         
0.0488085            -0.0115              -0.0126486           -0.21221087          -0.288635            0.00429855           0.00429063           -0.0                 -0.00026083         
0.0503412            -0.0115              -0.0127373           -0.21887478          -0.29609             0.00429566           0.00428917           0.0                  -0.00023595         
0.0518744            -0.0115              -0.0128173           -0.22554087          -0.302951            0.00429124           0.00428603           0.0                  -0.0002114          
0.0884652            -0.0115              0.0155354            -0.3846313           -1.14999             0.00462938           0.004629             -0.0                 5.94e-05            
0.0892145            -0.0115              0.0155446            -0.38788913          -1.15008             0.00462409           0.00462377           0.0                  5.46e-05            
0.0876786            -0.0115              0.0155249            -0.3812113           -1.14995             0.0046353            0.00463485           -0.0                 6.45e-05            
0.0868526            -0.0115              0.0155129            -0.37762             -1.14988             0.00464158           0.00464105           0.0                  6.98e-05            
0.105459             -0.0115              0.0155551            -0.45851739          -1.15406             0.00452198           0.00452173           0.0                  -4.82e-05           
