#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
#
# DPW-8/AePW-4 SECTIONAL CUT SUBMITTAL FORM (Version 5 - October 16, 2024)
#
# Provide this file for steady-state or time-averaged sectional cuts
#
#
#
# Data Set Title XXX.YY: Replace "XXX.YY" in the zone titles with the following information
#                     (Three-Digit Participant ID).(Two-Digit Submission ID)
#                     XXX  THREE-DIGIT PARTICIPANT ID: assigned by your working group leaders
#                     YY   TWO-DIGIT  SUBMISSION ID:  (self assigned) label a solver/grid/computational approach
#                     K.KK ALPHA: Angle of attack for the solution
#                     L    GRID LEVEL: 1, 2, 3, 4, 5, or 6
#                     EXAMPLE: 007.02 - ALPHA 2.50 - GRID 3 - WING SECTION  1
#
# 
#       NOMENCLATURE:
#                  X:   X coordinate
#                  Y:   Y coordinate
#                  Z:   Z coordinate
#                X/C:   Chord Fraction = (X - X_LE)/CHORD
#                 CP:   Coefficient of pressure
#                 CF:   Skin-friction coefficient at wall [tauw/(freestream dynamic pressure)]
#        CFX,CFY,CFZ:   Components of skin-friction coefficient at wall
#                   
#        DEFINITIONS:   CTU --> Convective Time Unit  (Uinf/Cref is 1.00 CTU)
#
#   REFERENCE VALUES: ONERA OAT15A (ONE CELL WIDE)
#                       Planform ref area, A         =  Cref * span (span is grid dependent)
#                       Mean aerodynamic chord, Cref =    230.00 mm
#                       x moment center              =     57.50 mm
#                       y moment center              =      0.00 mm
#                       z moment center              =      0.00 mm
#
#   REFERENCE VALUES: Common Research Model
#                       Planform ref area, A         = 594720.00 inches^2
#                       Mean aerodynamic chord, Cref =    275.80 inches
#                       Full-span length, B          =   2313.50 inches
#                       Semi-span length, BO2        =   1156.75 inches
#                       x moment center              =   1325.90 inches
#                       y moment center              =      0.00 inches
#                       z moment center              =    177.95 inches
#                       Aspect Ratio, AR             =      9.00
#
#   CONFIGURATION:      ONERA OAT15A
#                       CRMWB   (Common Research Model Wing/Body)
#                       CRMWBNP (Common Research Model Wing/Body/Nacelle/Pylon)
#
#
#              NOTES:   1. All numerical data fields can be free-formatted.
#                       2. Please use at least 4 decimal places for coordinate values
#                       3. Please use at least 6 decimal places for coefficient values
#                       4. Only include one grid type, grid size, soln method, turb model, etc per form.
#                       5. Fill fields with value of -999 for data that are not available.
#
#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++

TITLE = "014.02"
# Column       1     2     3     4       5      6      7       8       9
VARIABLES =   "X"   "Y"   "Z"   "X/C"   "CP"   "CF"   "CFX"   "CFY"   "CFZ"

#---------------------------------------------------
#   PARTICIPANT, GRID, AND SOLVER INFORMATION
#---------------------------------------------------
DATASETAUXDATA ParticipantID   = "014"
DATASETAUXDATA SubmissionDate  = "5th Nov,2024"
DATASETAUXDATA Name            = "Kartik Venkatraman, Adithya Udupa"
DATASETAUXDATA Email           = "kartik@iisc.ac.in, adithyaudupa3@gmail.com"
DATASETAUXDATA Institution     = "Indian Institute of Science"
DATASETAUXDATA SolverName      = "SU2 8.0.1 'Harrier'"
DATASETAUXDATA BasicAlgorithm  = "RANS"
DATASETAUXDATA TurbulenceModel = "SA Edwards"
DATASETAUXDATA GridId          = "Hybrid"
DATASETAUXDATA Notes           = "Periodic boundary condition is applied "



ZONE T="014.02 - ALPHA 3 - GRID L3 - WING SECTION  1"
AUXDATA GridLevel       = "3"
AUXDATA Mach            = "0.73"
AUXDATA Re              = "3e6"
AUXDATA Alpha           = "3"
AUXDATA Tstatic         = "-999"
AUXDATA CLtotal         = "1.2184418"
AUXDATA Eta             = "-999"
AUXDATA Dt              = "-999"
AUXDATA CtuStart        = "-999"
AUXDATA CtuAvg          = "-999"
AUXDATA GridFileName    = "ONERA-OAT15A_230mmChord_780mmSpan_upZ_2024_09_05_Unstructured_Level-3.cgns"
X                    Y                    Z                    X/C                  CP                   CF                   CFX                  CFY                  CFZ                 
0.2298               -0.0115              -0.0005513           -0.99913043          0.801989             0.00866828           -0.00861185          0.0                  0.00098744          
0.229727             -0.0115              -0.00054288          -0.99881304          0.261018             0.0106658            0.0105965            0.0                  -0.00121375         
0.22987              -0.0115              -0.00055932          -0.99943478          1.41547              0.0196347            -0.0195068           -0.0                 0.00223816          
0.229937             -0.0115              -0.00056696          -0.99972609          0.975217             0.0251603            -0.0249962           -0.0                 0.00286911          
0.23                 -0.0115              -0.00057424          -1.0                 0.753386             0.0138005            -0.0105734           0.0                  -0.00886885         
0.23                 -0.0115              -0.00051376          -1.0                 0.840017             0.0120625            0.0                  0.0                  -0.0120625          
0.115055             -0.0115              -0.00956631          -0.50023913          -0.00809418          0.0026404            0.00261811           0.0                  0.00034238          
0.113914             -0.0115              -0.00971446          -0.49527826          -0.0756937           0.00248738           0.00246699           -0.0                 0.00031785          
0.116196             -0.0115              -0.00941602          -0.5052              0.0416569            0.00275856           0.00273461           0.0                  0.00036275          
0.117337             -0.0115              -0.00926365          -0.51016087          0.0692241            0.00281322           0.00278812           0.0                  0.00037494          
0.118477             -0.0115              -0.00910926          -0.51511739          0.0702333            0.00278742           0.0027619            0.0                  0.00037633          
0.119617             -0.0115              -0.00895291          -0.52007391          0.0472903            0.00269389           0.00266861           -0.0                 0.00036824          
0.120757             -0.0115              -0.00879464          -0.52503043          0.00560926           0.00253552           0.00251114           -0.0                 0.00035074          
0.121897             -0.0115              -0.00863453          -0.52998696          -0.0312455           0.00235635           0.00233317           0.0                  0.00032966          
0.123036             -0.0115              -0.00847265          -0.53493913          -0.0503369           0.00219775           0.00217566           0.0                  0.0003108           
0.124175             -0.0115              -0.00830905          -0.5398913           -0.0505337           0.00206735           0.00204614           -0.0                 0.00029538          
0.125314             -0.0115              -0.00814381          -0.54484348          -0.0452298           0.00197675           0.00195607           -0.0                 0.00028522          
0.126453             -0.0115              -0.00797696          -0.54979565          -0.045678            0.00194151           0.00192081           0.0                  0.00028277          
0.127591             -0.0115              -0.00780859          -0.55474348          -0.0576802           0.0019126            0.00189183           -0.0                 0.00028105          
0.128729             -0.0115              -0.00763876          -0.5596913           -0.069188            0.00189549           0.00187456           -0.0                 0.00028088          
0.129867             -0.0115              -0.00746754          -0.56463913          -0.0618678           0.00189968           0.00187837           -0.0                 0.00028374          
0.131005             -0.0115              -0.007295            -0.56958696          -0.0182785           0.00193686           0.00191481           -0.0                 0.00029145          
0.227211             -0.0115              0.00111901           -0.98787391          0.233636             0.00054506           0.00053508           -0.0                 -0.00010378         
0.227404             -0.0115              0.00108165           -0.98871304          0.254566             0.0002888            0.0002835            -0.0                 -5.5e-05            
0.227009             -0.0115              0.00115819           -0.98699565          0.251164             0.00064689           0.00063508           -0.0                 -0.00012304         
0.226797             -0.0115              0.00119929           -0.98607391          0.305123             0.000418             0.00041039           -0.0                 -7.94e-05           
0.226574             -0.0115              0.00124239           -0.98510435          0.377853             5.19e-05             -5.1e-05             -0.0                 9.85e-06            
0.22634              -0.0115              0.00128759           -0.98408696          0.464315             0.00068394           -0.00067155          -0.0                 0.0001296           
0.115521             -0.0115              0.015374             -0.50226522          -1.50947             0.0043732            0.00437178           -0.0                 -0.00011154         
0.115863             -0.0115              0.0153652            -0.50375217          -1.51029             0.00437098           0.0043695            -0.0                 -0.00011378         
0.115179             -0.0115              0.0153827            -0.50077826          -1.50866             0.00437529           0.00437393           -0.0                 -0.0001093          
0.114837             -0.0115              0.0153911            -0.4992913           -1.50785             0.00437727           0.00437596           -0.0                 -0.00010707         
0.00465597           -0.0115              -0.00435731          -0.02024335          0.708682             0.00308504           0.00280258           -0.0                 -0.00128957         
0.00426723           -0.0115              -0.00417506          -0.01855317          0.733037             0.00311153           0.00280767           -0.0                 -0.00134112         
0.00506678           -0.0115              -0.00454297          -0.02202948          0.684542             0.00306038           0.00279711           -0.0                 -0.00124181         
0.00550062           -0.0115              -0.0047323           -0.02391574          0.660458             0.00303875           0.00279259           -0.0                 -0.0011981          
0.00595853           -0.0115              -0.00492555          -0.02590665          0.636315             0.00302203           0.00279121           -0.0                 -0.00115837         
0.00644167           -0.0115              -0.00512284          -0.02800726          0.611994             0.00300645           0.00278973           -0.0                 -0.00112077         
0.00695123           -0.0115              -0.00532437          -0.03022274          0.58747              0.00299536           0.00279154           0.0                  -0.00108605         
0.00748855           -0.0115              -0.00553013          -0.03255891          0.562676             0.00298353           0.00279198           0.0                  -0.0010518          
0.00805499           -0.0115              -0.00574018          -0.0350217           0.537699             0.00297452           0.0027945            -0.0                 -0.0010191          
0.00865205           -0.0115              -0.00595444          -0.03761761          0.512423             0.00296369           0.00279487           -0.0                 -0.00098596         
0.00928129           -0.0115              -0.00617279          -0.04035343          0.487107             0.00295425           0.00279619           -0.0                 -0.00095336         
0.00994439           -0.0115              -0.00639506          -0.04323648          0.461607             0.00294103           0.00279361           0.0                  -0.00091946         
0.0106431            -0.0115              -0.006621            -0.04627435          0.436237             0.00292856           0.00279141           -0.0                 -0.00088571         
0.0113792            -0.0115              -0.00685033          -0.04947478          0.410923             0.00291045           0.0027835            -0.0                 -0.0008502          
0.0121548            -0.0115              -0.00708273          -0.05284696          0.386008             0.00289333           0.00277613           -0.0                 -0.00081516         
0.0129717            -0.0115              -0.00731792          -0.0563987           0.361399             0.00287344           0.00276564           -0.0                 -0.00077968         
0.013832             -0.0115              -0.00755558          -0.06013913          0.337361             0.00285681           0.0027578            -0.0                 -0.00074561         
0.014738             -0.0115              -0.00779547          -0.06407826          0.313783             0.0028417            0.00275092           0.0                  -0.00071253         
0.0156919            -0.0115              -0.00803731          -0.06822565          0.290836             0.00283175           0.00274854           0.0                  -0.00068143         
0.016696             -0.0115              -0.00828092          -0.0725913           0.268466             0.0028293            0.00275294           -0.0                 -0.00065292         
