#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
#
# DPW-8/AePW-4 SECTIONAL CUT SUBMITTAL FORM (Version 5 - October 16, 2024)
#
# Provide this file for steady-state or time-averaged sectional cuts
#
#
#
# Data Set Title XXX.YY: Replace "XXX.YY" in the zone titles with the following information
#                     (Three-Digit Participant ID).(Two-Digit Submission ID)
#                     XXX  THREE-DIGIT PARTICIPANT ID: assigned by your working group leaders
#                     YY   TWO-DIGIT  SUBMISSION ID:  (self assigned) label a solver/grid/computational approach
#                     K.KK ALPHA: Angle of attack for the solution
#                     L    GRID LEVEL: 1, 2, 3, 4, 5, or 6
#                     EXAMPLE: 007.02 - ALPHA 2.50 - GRID 3 - WING SECTION  1
#
# 
#       NOMENCLATURE:
#                  X:   X coordinate
#                  Y:   Y coordinate
#                  Z:   Z coordinate
#                X/C:   Chord Fraction = (X - X_LE)/CHORD
#                 CP:   Coefficient of pressure
#                 CF:   Skin-friction coefficient at wall [tauw/(freestream dynamic pressure)]
#        CFX,CFY,CFZ:   Components of skin-friction coefficient at wall
#                   
#        DEFINITIONS:   CTU --> Convective Time Unit  (Uinf/Cref is 1.00 CTU)
#
#   REFERENCE VALUES: ONERA OAT15A (ONE CELL WIDE)
#                       Planform ref area, A         =  Cref * span (span is grid dependent)
#                       Mean aerodynamic chord, Cref =    230.00 mm
#                       x moment center              =     57.50 mm
#                       y moment center              =      0.00 mm
#                       z moment center              =      0.00 mm
#
#   REFERENCE VALUES: Common Research Model
#                       Planform ref area, A         = 594720.00 inches^2
#                       Mean aerodynamic chord, Cref =    275.80 inches
#                       Full-span length, B          =   2313.50 inches
#                       Semi-span length, BO2        =   1156.75 inches
#                       x moment center              =   1325.90 inches
#                       y moment center              =      0.00 inches
#                       z moment center              =    177.95 inches
#                       Aspect Ratio, AR             =      9.00
#
#   CONFIGURATION:      ONERA OAT15A
#                       CRMWB   (Common Research Model Wing/Body)
#                       CRMWBNP (Common Research Model Wing/Body/Nacelle/Pylon)
#
#
#              NOTES:   1. All numerical data fields can be free-formatted.
#                       2. Please use at least 4 decimal places for coordinate values
#                       3. Please use at least 6 decimal places for coefficient values
#                       4. Only include one grid type, grid size, soln method, turb model, etc per form.
#                       5. Fill fields with value of -999 for data that are not available.
#
#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++

TITLE = "014.02"
# Column       1     2     3     4       5      6      7       8       9
VARIABLES =   "X"   "Y"   "Z"   "X/C"   "CP"   "CF"   "CFX"   "CFY"   "CFZ"

#---------------------------------------------------
#   PARTICIPANT, GRID, AND SOLVER INFORMATION
#---------------------------------------------------
DATASETAUXDATA ParticipantID   = "014"
DATASETAUXDATA SubmissionDate  = "5th Nov,2024"
DATASETAUXDATA Name            = "Kartik Venkatraman, Adithya Udupa"
DATASETAUXDATA Email           = "kartik@iisc.ac.in, adithyaudupa3@gmail.com"
DATASETAUXDATA Institution     = "Indian Institute of Science"
DATASETAUXDATA SolverName      = "SU2 8.0.1 'Harrier'"
DATASETAUXDATA BasicAlgorithm  = "RANS"
DATASETAUXDATA TurbulenceModel = "SA Edwards"
DATASETAUXDATA GridId          = "Hybrid"
DATASETAUXDATA Notes           = "Periodic boundary condition is applied "



ZONE T="014.02 - ALPHA 3 - GRID L4 - WING SECTION  1"
AUXDATA GridLevel       = "4"
AUXDATA Mach            = "0.73"
AUXDATA Re              = "3e6"
AUXDATA Alpha           = "3"
AUXDATA Tstatic         = "-999"
AUXDATA CLtotal         = "0.89923654"
AUXDATA Eta             = "-999"
AUXDATA Dt              = "-999"
AUXDATA CtuStart        = "-999"
AUXDATA CtuAvg          = "-999"
AUXDATA GridFileName    = "ONERA-OAT15A_230mmChord_780mmSpan_upZ_2024_09_05_Unstructured_Level-4.cgns"
X                    Y                    Z                    X/C                  CP                   CF                   CFX                  CFY                  CFZ                 
0.113437             -0.0115              -0.00977565          -0.49320435          0.165286             0.00314346           0.00311801           0.0                  0.00039918          
0.112525             -0.0115              -0.00989173          -0.48923913          0.169773             0.00323649           0.00321093           0.0                  0.00040594          
0.111613             -0.0115              -0.0100064           -0.48527391          0.15053              0.00328465           0.00325937           0.0                  0.00040676          
0.1107               -0.0115              -0.0101195           -0.48130435          0.115507             0.00330196           0.00327721           0.0                  0.00040355          
0.109787             -0.0115              -0.0102312           -0.47733478          0.0756003            0.00328375           0.00325979           -0.0                 0.00039589          
0.108874             -0.0115              -0.0103413           -0.47336522          0.0364525            0.00324147           0.00321848           -0.0                 0.00038533          
0.107961             -0.0115              -0.0104498           -0.46939565          0.0109655            0.00321928           0.00319711           0.0                  0.00037715          
0.228343             -0.0115              0.00089898           -0.99279565          -0.118432            0.00124976           0.00122664           -0.0                 -0.00023927         
0.228469             -0.0115              0.00087426           -0.99334348          -0.149265            0.00139769           0.00137181           -0.0                 -0.00026772         
0.22859              -0.0115              0.00085071           -0.99386957          -0.189643            0.00168556           0.00165432           0.0                  -0.00032299         
0.228705             -0.0115              0.00082828           -0.99436957          -0.232371            0.0019663            0.00192983           -0.0                 -0.00037691         
0.228814             -0.0115              0.0008069            -0.99484348          -0.262593            0.0021102            0.00207105           -0.0                 -0.00040461         
0.228918             -0.0115              0.00078654           -0.99529565          -0.272249            0.00210396           0.0020649            -0.0                 -0.00040351         
0.229018             -0.0115              0.00076714           -0.99573043          -0.259619            0.00202368           0.0019861            -0.0                 -0.00038822         
0.229112             -0.0115              0.00074867           -0.99613913          -0.222418            0.00176217           0.00172942           0.0                  -0.00033816         
0.229202             -0.0115              0.00073106           -0.99653043          -0.165528            0.00135352           0.00132834           -0.0                 -0.00025982         
0.229288             -0.0115              0.00071429           -0.99690435          -0.0954794           0.00093232           0.00091496           -0.0                 -0.00017903         
0.22937              -0.0115              0.00069831           -0.99726087          -0.0282953           0.00058139           0.00057056           -0.0                 -0.00011168         
0.229447             -0.0115              0.00068309           -0.99759565          0.0408543            0.00031718           0.00031127           -0.0                 -6.09e-05           
0.229521             -0.0115              0.00066859           -0.99791739          0.113099             4.42e-05             -4.34e-05            -0.0                 8.5e-06             
0.223505             -0.0115              9.31e-05             -0.97176087          -0.198342            0.00256784           0.00255734           0.0                  -0.00023201         
0.223129             -0.0115              0.00012694           -0.97012609          -0.147075            0.00290348           0.00289194           0.0                  -0.00025858         
0.222734             -0.0115              0.00016199           -0.9684087           0.00132923           0.00301894           0.00300731           0.0                  -0.00026476         
0.222319             -0.0115              0.00019821           -0.96660435          0.189599             0.00282711           0.00281656           0.0                  -0.00024392         
0.14341              -0.0115              0.01401              -0.62352174          -0.921901            0.00151946           -0.00151523          0.0                  0.00011325          
0.144106             -0.0115              0.0139576            -0.62654783          -0.849542            0.00139401           -0.00138998          -0.0                 0.00010588          
0.144836             -0.0115              0.0139014            -0.62972174          -0.802776            0.00117829           -0.00117475          -0.0                 9.13e-05            
0.145602             -0.0115              0.0138413            -0.63305217          -0.782092            0.00092632           -0.00092342          -0.0                 7.32e-05            
0.146407             -0.0115              0.0137768            -0.63655217          -0.818639            0.00076343           -0.00076094          0.0                  6.16e-05            
0.147252             -0.0115              0.0137076            -0.64022609          -0.936808            0.00067363           -0.00067133          0.0                  5.56e-05            
0.148139             -0.0115              0.0136334            -0.64408261          -1.09884             0.00067862           -0.0006762           0.0                  5.73e-05            
0.149056             -0.0115              0.0135548            -0.64806957          -1.25239             0.00072806           -0.00072534          -0.0                 6.29e-05            
0.0102322            -0.0115              0.00817189           -0.04448783          -1.36435             0.00465316           0.00444844           -0.0                 0.00136503          
0.0109865            -0.0115              0.00839723           -0.04776739          -1.37925             0.00456519           0.00438368           0.0                  0.0012745           
0.0117819            -0.0115              0.00862243           -0.05122565          -1.39235             0.00449735           0.00433565           0.0                  0.00119513          
