#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
#
# DPW-8/AePW-4 SPECTRAL CONTENT SUBMITTAL FORM (Version 5 - October 16, 2024)
#
# Provide spectral content at x/c=0.45 (Kulite 7)
#
#
#
# Data Set Title XXX.YY: Replace "XXX.YY" in the zone titles with the following information
#                     (Three-Digit Participant ID).(Two-Digit Submission ID)
#                     XXX THREE-DIGIT PARTICIPANT ID: assigned by your working group leaders
#                     YY   TWO-DIGIT  SUBMISSION ID:  (self assigned) label a solver/grid/computational approach
#                     EXAMPLE: 007.02
#
# 
#       NOMENCLATURE:
#               FREQ:   Frequency (Hz)
#          <p(Pa^2)>:   Pressure power spectral content
#                   
#        DEFINITIONS:   CTU --> Convective Time Unit  (Uinf/Cref is 1.00 CTU)
#
#   REFERENCE VALUES: ONERA OAT15A (ONE CELL WIDE)
#                       Planform ref area, A         =  Cref * span (span is grid dependent)
#                       Mean aerodynamic chord, Cref =    230.00 mm
#                       x moment center              =     57.50 mm
#                       y moment center              =      0.00 mm
#                       z moment center              =      0.00 mm
#
#   REFERENCE VALUES: Common Research Model
#                       Planform ref area, A         = 594720.00 inches^2
#                       Mean aerodynamic chord, Cref =    275.80 inches
#                       Full-span length, B          =   2313.50 inches
#                       Semi-span length, BO2        =   1156.75 inches
#                       x moment center              =   1325.90 inches
#                       y moment center              =      0.00 inches
#                       z moment center              =    177.95 inches
#                       Aspect Ratio, AR             =      9.00
#
#   CONFIGURATION:      ONERA OAT15A
#                       CRMWB   (Common Research Model Wing/Body)
#                       CRMWBNP (Common Research Model Wing/Body/Nacelle/Pylon)
#
#
#              NOTES:   1. All numerical data fields can be free-formatted.
#                       2. Please use at least 4 decimal places for coordinate values
#                       3. Please use at least 6 decimal places for coefficient values
#                       4. Only include one grid type, grid size, soln method, turb model, etc per form.
#                       5. Fill fields with value of -999 for data that are not available.
#
#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++

TITLE = "008.02"
# Column       1       2
VARIABLES =   "FREQ"  "<p(Pa^2)>"

#---------------------------------------------------
#   PARTICIPANT, GRID, AND SOLVER INFORMATION
#---------------------------------------------------
DATASETAUXDATA ParticipantID   = "008"
DATASETAUXDATA SubmissionDate  = "11/30/2024"
DATASETAUXDATA Name            = "Nili Bachchan"
DATASETAUXDATA Email           = "nili@metacomptech.com"
DATASETAUXDATA Institution     = "Metacomp"
DATASETAUXDATA SolverName      = "CFD++ 21.1"
DATASETAUXDATA BasicAlgorithm  = "URANS"
DATASETAUXDATA TurbulenceModel = "SARC-QCR_neg"
DATASETAUXDATA GridId          = "Deck ONERA Grid"
DATASETAUXDATA Notes           = ""

ZONE T="008.02 - ALPHA 1.36"
AUXDATA GridLevel       = "Deck"
AUXDATA Mach            = "0.73"
AUXDATA Re              = "3e6"
AUXDATA Alpha           = "1.36"
AUXDATA CLtotal         = "7.532560592E-01"
AUXDATA Dt              = "9.2e-6"
AUXDATA CtuStart        = "48"
AUXDATA CtuAvg          = "8"
AUXDATA GridFileName    = "grid_OAT15A_Deck.x"
-999 -999

ZONE T="008.02 - ALPHA 1.50"
AUXDATA GridLevel       = "Deck"
AUXDATA Mach            = "0.73"
AUXDATA Re              = "3e6"
AUXDATA Alpha           = "1.50"
AUXDATA CLtotal         = "7.833014253E-01"
AUXDATA Dt              = "9.2e-6"
AUXDATA CtuStart        = "48"
AUXDATA CtuAvg          = "8"
AUXDATA GridFileName    = "grid_OAT15A_Deck.x"
-999 -999

ZONE T="008.02 - ALPHA 2.50"
AUXDATA GridLevel       = "Deck"
AUXDATA Mach            = "0.73"
AUXDATA Re              = "3e6"
AUXDATA Alpha           = "2.50"
AUXDATA CLtotal         = "9.346206496E-01"
AUXDATA Dt              = "9.2e-6"
AUXDATA CtuStart        = "48"
AUXDATA CtuAvg          = "8"
AUXDATA GridFileName    = "grid_OAT15A_Deck.x"
-999 -999

ZONE T="008.02 - ALPHA 3.00"
AUXDATA GridLevel       = "Deck"
AUXDATA Mach            = "0.73"
AUXDATA Re              = "3e6"
AUXDATA Alpha           = "3.00"
AUXDATA CLtotal         = "9.583698549E-01"
AUXDATA Dt              = "9.2e-6"
AUXDATA CtuStart        = "48"
AUXDATA CtuAvg          = "8"
AUXDATA GridFileName    = "grid_OAT15A_Deck.x"
-999 -999

ZONE T="008.02 - ALPHA 3.10"
AUXDATA GridLevel       = "Deck"
AUXDATA Mach            = "0.73"
AUXDATA Re              = "3e6"
AUXDATA Alpha           = "3.10"
AUXDATA CLtotal         = "9.604341885E-01"
AUXDATA Dt              = "9.2e-6"
AUXDATA CtuStart        = "48"
AUXDATA CtuAvg          = "8"
AUXDATA GridFileName    = "grid_OAT15A_Deck.x"
-999 -999

ZONE T="008.02 - ALPHA 3.25"
AUXDATA GridLevel       = "Deck"
AUXDATA Mach            = "0.73"
AUXDATA Re              = "3e6"
AUXDATA Alpha           = "3.25"
AUXDATA CLtotal         = "9.622356265E-01"
AUXDATA Dt              = "9.2e-6"
AUXDATA CtuStart        = "48"
AUXDATA CtuAvg          = "8"
AUXDATA GridFileName    = "grid_OAT15A_Deck.x"
0.0                     1.4524331768318497e-25
13.268512228359684      2.3696207466743706
26.53702445671937      2.351959264422125
39.805536685079055      2.3153301661804164
53.07404891343874      2.2285806762364375
66.34256114179843      1.921954966537096
79.61107337015811      5.4242079641276755
92.87958559851779      2.9267349015632225
106.14809782687747      2.7348677455856354
119.41661005523716      2.6651473014292497
132.68512228359685      2.6282413919077108
145.95363451195652      2.6089271017167985
159.22214674031622      2.59364822905302
172.4906589686759      2.5853179245757985
185.75917119703558      2.5793441345405723
199.02768342539525      2.5746341213868074
212.29619565375495      2.5701394162336517
225.56470788211465      2.5772208625894777
238.83322011047431      2.552346150626432
252.101732338834      2.556274885292902
265.3702445671937      2.555765171438739
278.6387567955534      2.556125683108089
291.90726902391305      2.552326228025017
305.1757812522727      2.545194687565495
318.44429348063244      2.552861430564272
331.7128057089921      2.5511640013573875
344.9813179373518      2.5509038336960628
358.2498301657115      2.552576840432398
371.51834239407117      2.549705479206903
384.78685462243084      2.5533054887661497
398.0553668507905      2.547975293168896
411.32387907915023      2.5468546323424563
424.5923913075099      2.5475046878649814
437.86090353586957      2.546921887855281
451.1294157642293      2.547615527140973
464.39792799258896      2.5484880080009185
