TITLE     = "Translation of CGNS file Walls.cgns | Translation of CGNS file Walls.cgns | Translation of CGNS file Walls.cgns | Translation of CGNS file Walls.cgns | Translation of CGNS file Walls.cgns | Translation of CGNS file Walls.cgns | Translation of CGNS file Wal"
VARIABLES = "X" "Y" "Z" "X/C" "CP_AVG" "CP_RMS" "CF_AVG" "CF_RMS"
DATASETAUXDATA Alpha="3.5"
DATASETAUXDATA BasicAlgorithm="RANS"
DATASETAUXDATA CLtotal="-999"
DATASETAUXDATA Common.DensityVar="4"
DATASETAUXDATA Common.PressureVar="8"
DATASETAUXDATA Common.UVar="5"
DATASETAUXDATA Common.VectorVarsAreVelocity="FALSE"
DATASETAUXDATA Common.VVar="6"
DATASETAUXDATA Common.WVar="7"
DATASETAUXDATA CtuAvg="-999"
DATASETAUXDATA CtuStart="-999"
DATASETAUXDATA Dt="1e-6"
DATASETAUXDATA Email="fulvio.sartor@onera.fr"
DATASETAUXDATA Eta="-999"
DATASETAUXDATA GridFileName="-999"
DATASETAUXDATA GridId="ONERA O-grid Unstructured"
DATASETAUXDATA GridLevel="TODO_GridLevel"
DATASETAUXDATA Institution="ONERA"
DATASETAUXDATA Mach="0.73"
DATASETAUXDATA Name="F. Sartor"
DATASETAUXDATA Notes=" "
DATASETAUXDATA ParticipantID="009"
DATASETAUXDATA Re="3e+6"
DATASETAUXDATA SolverName="elsA"
DATASETAUXDATA SubmissionDate="2026-05"
DATASETAUXDATA Tstatic="271.0"
DATASETAUXDATA TurbulenceModel="SA"
ZONE T="009.35 elsA ONERA-O Unstructured GRID LEVEL 1"
 STRANDID=2, SOLUTIONTIME=314008
 I=418, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=BLOCK
 AUXDATA GridLevel="1"
 DT=(DOUBLE DOUBLE DOUBLE DOUBLE DOUBLE DOUBLE DOUBLE DOUBLE )
 2.300000000E-01 2.300000000E-01 2.300000000E-01 2.300000000E-01 2.300000000E-01
 2.300000000E-01 2.300000000E-01 2.300000000E-01 2.300000000E-01 2.300000000E-01
 2.300000000E-01 2.300000000E-01 2.300000000E-01 2.300000000E-01 2.300000000E-01
 2.300000000E-01 2.300000000E-01 2.300000000E-01 2.300000000E-01 2.300000000E-01
 2.299771489E-01 2.299498560E-01 2.299179226E-01 2.298811349E-01 2.298392627E-01
 2.297920585E-01 2.297392563E-01 2.296805703E-01 2.296156939E-01 2.295442978E-01
 2.294660291E-01 2.293805092E-01 2.292873161E-01 2.291860261E-01 2.290761786E-01
 2.289572767E-01 2.288287817E-01 2.286900979E-01 2.285406485E-01 2.283797864E-01
 2.282068110E-01 2.280209574E-01 2.278214521E-01 2.276074760E-01 2.273781371E-01
 2.271324098E-01 2.268693418E-01 2.265878745E-01 2.262868496E-01 2.259649703E-01
 2.256210577E-01 2.252537334E-01 2.248614991E-01 2.244428595E-01 2.239962492E-01
 2.235198877E-01 2.230120165E-01 2.224708040E-01 2.218941707E-01 2.212801231E-01
 2.206264510E-01 2.199308558E-01 2.191910665E-01 2.184044256E-01 2.175685588E-01
 2.166806297E-01 2.157380317E-01 2.147378042E-01 2.136771387E-01 2.125529326E-01
 2.113622882E-01 2.101019224E-01 2.087689649E-01 2.073600116E-01 2.058721863E-01
 2.043023355E-01 2.026474348E-01 2.009046794E-01 1.990712502E-01 1.971447286E-01
 1.951227394E-01 1.930031688E-01 1.907842659E-01 1.884651130E-01 1.860443608E-01
 1.835213704E-01 1.808959125E-01 1.781681573E-01 1.753386655E-01 1.724083759E-01
 1.693786116E-01 1.662511147E-01 1.630280984E-01 1.597122855E-01 1.563063184E-01
 1.528140699E-01 1.492400446E-01 1.455893205E-01 1.418675792E-01 1.380811654E-01
