#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
#
# DPW-8/AePW-4 UNSTEADY SECTIONAL CUT SUBMITTAL FORM (Version 5 - October 16, 2024)
#
# Provide this file for steady-state or time-averaged sectional cuts
#
#
#
# Data Set Title XXX.YY: Replace "XXX.YY" in the zone titles with the following information
#                     (Three-Digit Participant ID).(Two-Digit Submission ID)
#                     XXX  THREE-DIGIT PARTICIPANT ID: assigned by your working group leaders
#                     YY   TWO-DIGIT  SUBMISSION ID:  (self assigned) label a solver/grid/computational approach
#                     K.KK ALPHA: Angle of attack for the solution
#                     L    GRID LEVEL: 1, 2, 3, 4, 5, or 6
#                     EXAMPLE: 007.02 - ALPHA 2.50 - GRID 3 - WING SECTION  1
#
# 
#       NOMENCLATURE:
#                  X:   X coordinate
#                  Y:   Y coordinate
#                  Z:   Z coordinate
#                X/C:   Chord Fraction = (X - X_LE)/CHORD
#             CP_AVG:   Time-averaged coefficient of pressure
#             CP_RMS:   Root mean square of instantaneous coefficient of pressure
#             CF_AVG:   Time-averaged skin-friction coefficient at wall [tauw/(freestream dynamic pressure)]
#             CF_RMS:   Root mean square of skin-friction coefficient at wall [tauw/(freestream dynamic pressure)]
#                   
#        DEFINITIONS:   CTU --> Convective Time Unit  (Uinf/Cref is 1.00 CTU)
#
#   REFERENCE VALUES: ONERA OAT15A (ONE CELL WIDE)
#                       Planform ref area, A         =  Cref * span (span is grid dependent)
#                       Mean aerodynamic chord, Cref =    230.00 mm
#                       x moment center              =     57.50 mm
#                       y moment center              =      0.00 mm
#                       z moment center              =      0.00 mm
#
#   REFERENCE VALUES: Common Research Model
#                       Planform ref area, A         = 594720.00 inches^2
#                       Mean aerodynamic chord, Cref =    275.80 inches
#                       Full-span length, B          =   2313.50 inches
#                       Semi-span length, BO2        =   1156.75 inches
#                       x moment center              =   1325.90 inches
#                       y moment center              =      0.00 inches
#                       z moment center              =    177.95 inches
#                       Aspect Ratio, AR             =      9.00
#
#   CONFIGURATION:      ONERA OAT15A
#                       CRMWB   (Common Research Model Wing/Body)
#                       CRMWBNP (Common Research Model Wing/Body/Nacelle/Pylon)
#
#
#              NOTES:   1. All numerical data fields can be free-formatted.
#                       2. Please use at least 4 decimal places for coordinate values
#                       3. Please use at least 6 decimal places for coefficient values
#                       4. Only include one grid type, grid size, soln method, turb model, etc per form.
#                       5. Fill fields with value of -999 for data that are not available.
#
#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++

TITLE = "013.11"
# Column       1     2     3     4       5          6          7          8
VARIABLES =   "X"   "Y"   "Z"   "X/C"   "CP_AVG"   "CP_RMS"   "CF_AVG"   "CF_RMS"


#---------------------------------------------------
#   PARTICIPANT, GRID, AND SOLVER INFORMATION
#---------------------------------------------------
DATASETAUXDATA ParticipantID   = "013"
DATASETAUXDATA SubmissionDate  = "2024-11-05"
DATASETAUXDATA Name            = "Hadar Ben-Gida"
DATASETAUXDATA Email           = "bengida@technion.ac.il"
DATASETAUXDATA Institution     = "Technion - Israel Institute of Technology"
DATASETAUXDATA SolverName      = "SU2 v8.0.1"
DATASETAUXDATA BasicAlgorithm  = "RANS"
DATASETAUXDATA TurbulenceModel = "SA-EDW-MC-QCR"
DATASETAUXDATA GridId          = "Cadence supplied Unstructured Grids & O-type home-made Structured Grids"
DATASETAUXDATA Notes           = ""



ZONE T="013.11 - ALPHA 3.00 GRID LEVEL 1"
AUXDATA GridLevel       = "1"
AUXDATA Mach            = "0.73"
AUXDATA Re              = "2998880"
AUXDATA Alpha           = "3.00"
AUXDATA Tstatic         = "271 K"
AUXDATA CLtotal         = "0.93790140"
AUXDATA Eta             = "-999"
AUXDATA Dt              = "1.000000e-05"
AUXDATA CtuStart        = "314.23"
AUXDATA CtuAvg          = "733.25"
AUXDATA GridFileName    = "ONERA-OAT15A_230mmChord_780mmSpan_upZ_2024_09_05_Unstructured_Level-1"
0.13500000 0.01456806 0.00000000 0.58695652 -0.65495601 0.00000000 -999 -999
0.13431115 0.01460778 0.00000000 0.58396154 -0.66459685 0.00000000 -999 -999
0.13362226 0.01464662 0.00000000 0.58096634 -0.67420724 0.00000000 -999 -999
0.13293331 0.01468459 0.00000000 0.57797093 -0.68374624 0.00000000 -999 -999
0.13224432 0.01472170 0.00000000 0.57497532 -0.69323665 0.00000000 -999 -999
0.13155529 0.01475795 0.00000000 0.57197951 -0.70272835 0.00000000 -999 -999
0.13086621 0.01479337 0.00000000 0.56898351 -0.71215485 0.00000000 -999 -999
0.13017708 0.01482794 0.00000000 0.56598732 -0.72169105 0.00000000 -999 -999
0.12948792 0.01486168 0.00000000 0.56299095 -0.73118045 0.00000000 -999 -999
0.12879872 0.01489460 0.00000000 0.55999441 -0.74088012 0.00000000 -999 -999
0.12810947 0.01492670 0.00000000 0.55699771 -0.75068302 0.00000000 -999 -999
0.12742019 0.01495797 0.00000000 0.55400083 -0.76072478 0.00000000 -999 -999
0.12673087 0.01498843 0.00000000 0.55100380 -0.77118319 0.00000000 -999 -999
0.12604152 0.01501808 0.00000000 0.54800662 -0.78222578 0.00000000 -999 -999
0.12535214 0.01504692 0.00000000 0.54500929 -0.79424123 0.00000000 -999 -999
0.12466272 0.01507497 0.00000000 0.54201181 -0.80765123 0.00000000 -999 -999
0.12397327 0.01510223 0.00000000 0.53901420 -0.82312038 0.00000000 -999 -999
0.12328378 0.01512870 0.00000000 0.53601645 -0.84122793 0.00000000 -999 -999
0.12259427 0.01515440 0.00000000 0.53301858 -0.86290699 0.00000000 -999 -999
0.12190473 0.01517932 0.00000000 0.53002058 -0.88922404 0.00000000 -999 -999
0.12121517 0.01520347 0.00000000 0.52702246 -0.92176610 0.00000000 -999 -999
0.12052557 0.01522686 0.00000000 0.52402423 -0.96252154 0.00000000 -999 -999
0.11983595 0.01524948 0.00000000 0.52102589 -1.01384174 0.00000000 -999 -999
0.11914631 0.01527135 0.00000000 0.51802744 -1.07724593 0.00000000 -999 -999
0.11845664 0.01529247 0.00000000 0.51502889 -1.15347053 0.00000000 -999 -999
0.11776696 0.01531284 0.00000000 0.51203024 -1.23598780 0.00000000 -999 -999
0.11707724 0.01533247 0.00000000 0.50903150 -1.30980173 0.00000000 -999 -999
0.11638751 0.01535135 0.00000000 0.50603267 -1.36297259 0.00000000 -999 -999
0.11569776 0.01536951 0.00000000 0.50303375 -1.39444526 0.00000000 -999 -999
0.11500799 0.01538693 0.00000000 0.50003475 -1.40994476 0.00000000 -999 -999
0.11431821 0.01540362 0.00000000 0.49703567 -1.41610128 0.00000000 -999 -999
0.11362840 0.01541959 0.00000000 0.49403652 -1.41768914 0.00000000 -999 -999
0.11293858 0.01543485 0.00000000 0.49103730 -1.41737393 0.00000000 -999 -999
0.11224874 0.01544939 0.00000000 0.48803801 -1.41634198 0.00000000 -999 -999
0.11155889 0.01546323 0.00000000 0.48503866 -1.41509255 0.00000000 -999 -999
