#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
#
# DPW-8/AePW-4 UNSTEADY SECTIONAL CUT SUBMITTAL FORM (Version 5 - October 16, 2024)
#
# Provide this file for steady-state or time-averaged sectional cuts
#
#
#
# Data Set Title XXX.YY: Replace "XXX.YY" in the zone titles with the following information
#                     (Three-Digit Participant ID).(Two-Digit Submission ID)
#                     XXX  THREE-DIGIT PARTICIPANT ID: assigned by your working group leaders
#                     YY   TWO-DIGIT  SUBMISSION ID:  (self assigned) label a solver/grid/computational approach
#                     K.KK ALPHA: Angle of attack for the solution
#                     L    GRID LEVEL: 1, 2, 3, 4, 5, or 6
#                     EXAMPLE: 007.02 - ALPHA 2.50 - GRID 3 - WING SECTION  1
#
# 
#       NOMENCLATURE:
#                  X:   X coordinate
#                  Y:   Y coordinate
#                  Z:   Z coordinate
#                X/C:   Chord Fraction = (X - X_LE)/CHORD
#             CP_AVG:   Time-averaged coefficient of pressure
#             CP_RMS:   Root mean square of instantaneous coefficient of pressure
#             CF_AVG:   Time-averaged skin-friction coefficient at wall [tauw/(freestream dynamic pressure)]
#             CF_RMS:   Root mean square of skin-friction coefficient at wall [tauw/(freestream dynamic pressure)]
#                   
#        DEFINITIONS:   CTU --> Convective Time Unit  (Uinf/Cref is 1.00 CTU)
#
#   REFERENCE VALUES: ONERA OAT15A (ONE CELL WIDE)
#                       Planform ref area, A         =  Cref * span (span is grid dependent)
#                       Mean aerodynamic chord, Cref =    230.00 mm
#                       x moment center              =     57.50 mm
#                       y moment center              =      0.00 mm
#                       z moment center              =      0.00 mm
#
#   REFERENCE VALUES: Common Research Model
#                       Planform ref area, A         = 594720.00 inches^2
#                       Mean aerodynamic chord, Cref =    275.80 inches
#                       Full-span length, B          =   2313.50 inches
#                       Semi-span length, BO2        =   1156.75 inches
#                       x moment center              =   1325.90 inches
#                       y moment center              =      0.00 inches
#                       z moment center              =    177.95 inches
#                       Aspect Ratio, AR             =      9.00
#
#   CONFIGURATION:      ONERA OAT15A
#                       CRMWB   (Common Research Model Wing/Body)
#                       CRMWBNP (Common Research Model Wing/Body/Nacelle/Pylon)
#
#
#              NOTES:   1. All numerical data fields can be free-formatted.
#                       2. Please use at least 4 decimal places for coordinate values
#                       3. Please use at least 6 decimal places for coefficient values
#                       4. Only include one grid type, grid size, soln method, turb model, etc per form.
#                       5. Fill fields with value of -999 for data that are not available.
#
#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++

TITLE = "013.13"
# Column       1     2     3     4       5          6          7          8
VARIABLES =   "X"   "Y"   "Z"   "X/C"   "CP_AVG"   "CP_RMS"   "CF_AVG"   "CF_RMS"


#---------------------------------------------------
#   PARTICIPANT, GRID, AND SOLVER INFORMATION
#---------------------------------------------------
DATASETAUXDATA ParticipantID   = "013"
DATASETAUXDATA SubmissionDate  = "2024-11-05"
DATASETAUXDATA Name            = "Hadar Ben-Gida"
DATASETAUXDATA Email           = "bengida@technion.ac.il"
DATASETAUXDATA Institution     = "Technion - Israel Institute of Technology"
DATASETAUXDATA SolverName      = "SU2 v8.0.1"
DATASETAUXDATA BasicAlgorithm  = "RANS"
DATASETAUXDATA TurbulenceModel = "SA-EDW-MC-QCR"
DATASETAUXDATA GridId          = "Cadence supplied Unstructured Grids & O-type home-made Structured Grids"
DATASETAUXDATA Notes           = ""







ZONE T="013.13 - ALPHA 3.25 GRID LEVEL 1"
AUXDATA GridLevel       = "1"
AUXDATA Mach            = "0.73"
AUXDATA Re              = "2998880"
AUXDATA Alpha           = "3.25"
AUXDATA Tstatic         = "271 K"
AUXDATA CLtotal         = "0.89504222"
AUXDATA Eta             = "-999"
AUXDATA Dt              = "2.500000e-06"
AUXDATA CtuStart        = "314.23"
AUXDATA CtuAvg          = "733.20"
AUXDATA GridFileName    = "ONERA-OAT15A_230mmChord_780mmSpan_upZ_2024_09_05_Unstructured_Level-1"
0.13500000 0.01456806 0.00000000 0.58695652 -0.60542489 0.19463840 -999 -999
0.13431115 0.01460778 0.00000000 0.58396154 -0.61680831 0.20736905 -999 -999
0.13362226 0.01464662 0.00000000 0.58096634 -0.63008266 0.22359734 -999 -999
0.13293331 0.01468459 0.00000000 0.57797093 -0.64575704 0.24394833 -999 -999
0.13224432 0.01472170 0.00000000 0.57497532 -0.66353438 0.26808489 -999 -999
0.13155529 0.01475795 0.00000000 0.57197951 -0.68248385 0.29360635 -999 -999
0.13086621 0.01479337 0.00000000 0.56898351 -0.70116448 0.31719121 -999 -999
0.13017708 0.01482794 0.00000000 0.56598732 -0.71850515 0.33698688 -999 -999
0.12948792 0.01486168 0.00000000 0.56299095 -0.73412391 0.35278209 -999 -999
0.12879872 0.01489460 0.00000000 0.55999441 -0.74828236 0.36513006 -999 -999
0.12810947 0.01492670 0.00000000 0.55699771 -0.76101627 0.37503625 -999 -999
0.12742019 0.01495797 0.00000000 0.55400083 -0.77286877 0.38309928 -999 -999
0.12673087 0.01498843 0.00000000 0.55100380 -0.78403703 0.38984444 -999 -999
0.12604152 0.01501808 0.00000000 0.54800662 -0.79463669 0.39562459 -999 -999
0.12535214 0.01504692 0.00000000 0.54500929 -0.80474763 0.40061178 -999 -999
0.12466272 0.01507497 0.00000000 0.54201181 -0.81445293 0.40488178 -999 -999
0.12397327 0.01510223 0.00000000 0.53901420 -0.82386158 0.40845171 -999 -999
0.12328378 0.01512870 0.00000000 0.53601645 -0.83290344 0.41155233 -999 -999
0.12259427 0.01515440 0.00000000 0.53301858 -0.84185192 0.41410779 -999 -999
0.12190473 0.01517932 0.00000000 0.53002058 -0.85048154 0.41641560 -999 -999
0.12121517 0.01520347 0.00000000 0.52702246 -0.85908988 0.41829509 -999 -999
0.12052557 0.01522686 0.00000000 0.52402423 -0.86754661 0.41997765 -999 -999
0.11983595 0.01524948 0.00000000 0.52102589 -0.87616509 0.42133565 -999 -999
0.11914631 0.01527135 0.00000000 0.51802744 -0.88501436 0.42250566 -999 -999
0.11845664 0.01529247 0.00000000 0.51502889 -0.89412657 0.42366475 -999 -999
0.11776696 0.01531284 0.00000000 0.51203024 -0.90361701 0.42487063 -999 -999
0.11707724 0.01533247 0.00000000 0.50903150 -0.91331315 0.42635319 -999 -999
0.11638751 0.01535135 0.00000000 0.50603267 -0.92332439 0.42802630 -999 -999
0.11569776 0.01536951 0.00000000 0.50303375 -0.93318469 0.43006527 -999 -999
0.11500799 0.01538693 0.00000000 0.50003475 -0.94269832 0.43184419 -999 -999
0.11431821 0.01540362 0.00000000 0.49703567 -0.95130870 0.43310683 -999 -999
0.11362840 0.01541959 0.00000000 0.49403652 -0.95916913 0.43349742 -999 -999
0.11293858 0.01543485 0.00000000 0.49103730 -0.96655982 0.43303712 -999 -999
0.11224874 0.01544939 0.00000000 0.48803801 -0.97345473 0.43219349 -999 -999
0.11155889 0.01546323 0.00000000 0.48503866 -0.98032147 0.43084870 -999 -999
