#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
#
# DPW-8/AePW-4 UNSTEADY SECTIONAL CUT SUBMITTAL FORM (Version 5 - October 16, 2024)
#
# Provide this file for steady-state or time-averaged sectional cuts
#
#
#
# Data Set Title XXX.YY: Replace "XXX.YY" in the zone titles with the following information
#                     (Three-Digit Participant ID).(Two-Digit Submission ID)
#                     XXX  THREE-DIGIT PARTICIPANT ID: assigned by your working group leaders
#                     YY   TWO-DIGIT  SUBMISSION ID:  (self assigned) label a solver/grid/computational approach
#                     K.KK ALPHA: Angle of attack for the solution
#                     L    GRID LEVEL: 1, 2, 3, 4, 5, or 6
#                     EXAMPLE: 007.02 - ALPHA 2.50 - GRID 3 - WING SECTION  1
#
# 
#       NOMENCLATURE:
#                  X:   X coordinate
#                  Y:   Y coordinate
#                  Z:   Z coordinate
#                X/C:   Chord Fraction = (X - X_LE)/CHORD
#             CP_AVG:   Time-averaged coefficient of pressure
#             CP_RMS:   Root mean square of instantaneous coefficient of pressure
#             CF_AVG:   Time-averaged skin-friction coefficient at wall [tauw/(freestream dynamic pressure)]
#             CF_RMS:   Root mean square of skin-friction coefficient at wall [tauw/(freestream dynamic pressure)]
#                   
#        DEFINITIONS:   CTU --> Convective Time Unit  (Uinf/Cref is 1.00 CTU)
#
#   REFERENCE VALUES: ONERA OAT15A (ONE CELL WIDE)
#                       Planform ref area, A         =  Cref * span (span is grid dependent)
#                       Mean aerodynamic chord, Cref =    230.00 mm
#                       x moment center              =     57.50 mm
#                       y moment center              =      0.00 mm
#                       z moment center              =      0.00 mm
#
#   REFERENCE VALUES: Common Research Model
#                       Planform ref area, A         = 594720.00 inches^2
#                       Mean aerodynamic chord, Cref =    275.80 inches
#                       Full-span length, B          =   2313.50 inches
#                       Semi-span length, BO2        =   1156.75 inches
#                       x moment center              =   1325.90 inches
#                       y moment center              =      0.00 inches
#                       z moment center              =    177.95 inches
#                       Aspect Ratio, AR             =      9.00
#
#   CONFIGURATION:      ONERA OAT15A
#                       CRMWB   (Common Research Model Wing/Body)
#                       CRMWBNP (Common Research Model Wing/Body/Nacelle/Pylon)
#
#
#              NOTES:   1. All numerical data fields can be free-formatted.
#                       2. Please use at least 4 decimal places for coordinate values
#                       3. Please use at least 6 decimal places for coefficient values
#                       4. Only include one grid type, grid size, soln method, turb model, etc per form.
#                       5. Fill fields with value of -999 for data that are not available.
#
#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++

TITLE = "013.14"
# Column       1     2     3     4       5          6          7          8
VARIABLES =   "X"   "Y"   "Z"   "X/C"   "CP_AVG"   "CP_RMS"   "CF_AVG"   "CF_RMS"


#---------------------------------------------------
#   PARTICIPANT, GRID, AND SOLVER INFORMATION
#---------------------------------------------------
DATASETAUXDATA ParticipantID   = "013"
DATASETAUXDATA SubmissionDate  = "2024-11-05"
DATASETAUXDATA Name            = "Hadar Ben-Gida"
DATASETAUXDATA Email           = "bengida@technion.ac.il"
DATASETAUXDATA Institution     = "Technion - Israel Institute of Technology"
DATASETAUXDATA SolverName      = "SU2 v8.0.1"
DATASETAUXDATA BasicAlgorithm  = "RANS"
DATASETAUXDATA TurbulenceModel = "SA-EDW-MC-QCR"
DATASETAUXDATA GridId          = "Cadence supplied Unstructured Grids & O-type home-made Structured Grids"
DATASETAUXDATA Notes           = ""







ZONE T="013.14 - ALPHA 3.25 GRID LEVEL 1"
AUXDATA GridLevel       = "1"
AUXDATA Mach            = "0.73"
AUXDATA Re              = "2998880"
AUXDATA Alpha           = "3.25"
AUXDATA Tstatic         = "271 K"
AUXDATA CLtotal         = "0.92792371"
AUXDATA Eta             = "-999"
AUXDATA Dt              = "1.000000e-05"
AUXDATA CtuStart        = "314.23"
AUXDATA CtuAvg          = "733.25"
AUXDATA GridFileName    = "ONERA-OAT15A_230mmChord_780mmSpan_upZ_2024_09_05_Unstructured_Level-1"
0.13500000 0.01456806 0.00000000 0.58695652 -0.60159198 0.15826302 -999 -999
0.13431115 0.01460778 0.00000000 0.58396154 -0.61028989 0.16488248 -999 -999
0.13362226 0.01464662 0.00000000 0.58096634 -0.62007573 0.17313729 -999 -999
0.13293331 0.01468459 0.00000000 0.57797093 -0.63130215 0.18360448 -999 -999
0.13224432 0.01472170 0.00000000 0.57497532 -0.64431344 0.19698103 -999 -999
0.13155529 0.01475795 0.00000000 0.57197951 -0.65953873 0.21406587 -999 -999
0.13086621 0.01479337 0.00000000 0.56898351 -0.67712565 0.23495319 -999 -999
0.13017708 0.01482794 0.00000000 0.56598732 -0.69744634 0.26036310 -999 -999
0.12948792 0.01486168 0.00000000 0.56299095 -0.71666693 0.28188936 -999 -999
0.12879872 0.01489460 0.00000000 0.55999441 -0.74281938 0.31613344 -999 -999
0.12810947 0.01492670 0.00000000 0.55699771 -0.75879914 0.32839391 -999 -999
0.12742019 0.01495797 0.00000000 0.55400083 -0.78129077 0.35152265 -999 -999
0.12673087 0.01498843 0.00000000 0.55100380 -0.79370241 0.35596069 -999 -999
0.12604152 0.01501808 0.00000000 0.54800662 -0.81200293 0.36967057 -999 -999
0.12535214 0.01504692 0.00000000 0.54500929 -0.82346415 0.37220767 -999 -999
0.12466272 0.01507497 0.00000000 0.54201181 -0.83956967 0.38126534 -999 -999
0.12397327 0.01510223 0.00000000 0.53901420 -0.85034765 0.38244963 -999 -999
0.12328378 0.01512870 0.00000000 0.53601645 -0.86512824 0.38880295 -999 -999
0.12259427 0.01515440 0.00000000 0.53301858 -0.87541725 0.38890353 -999 -999
0.12190473 0.01517932 0.00000000 0.53002058 -0.88928313 0.39334598 -999 -999
0.12121517 0.01520347 0.00000000 0.52702246 -0.89916791 0.39259880 -999 -999
0.12052557 0.01522686 0.00000000 0.52402423 -0.91241186 0.39563634 -999 -999
0.11983595 0.01524948 0.00000000 0.52102589 -0.92202285 0.39415923 -999 -999
0.11914631 0.01527135 0.00000000 0.51802744 -0.93479975 0.39602147 -999 -999
0.11845664 0.01529247 0.00000000 0.51502889 -0.94419368 0.39391671 -999 -999
0.11776696 0.01531284 0.00000000 0.51203024 -0.95661050 0.39481998 -999 -999
0.11707724 0.01533247 0.00000000 0.50903150 -0.96582980 0.39217990 -999 -999
0.11638751 0.01535135 0.00000000 0.50603267 -0.97796793 0.39227928 -999 -999
0.11569776 0.01536951 0.00000000 0.50303375 -0.98704036 0.38913776 -999 -999
0.11500799 0.01538693 0.00000000 0.50003475 -0.99901030 0.38851779 -999 -999
0.11431821 0.01540362 0.00000000 0.49703567 -1.00795494 0.38489360 -999 -999
0.11362840 0.01541959 0.00000000 0.49403652 -1.01975188 0.38356626 -999 -999
0.11293858 0.01543485 0.00000000 0.49103730 -1.02865098 0.37945454 -999 -999
0.11224874 0.01544939 0.00000000 0.48803801 -1.04030976 0.37754789 -999 -999
0.11155889 0.01546323 0.00000000 0.48503866 -1.04912653 0.37301823 -999 -999
