TITLE = "023.01"
#Column       1              2             3            4        5       6         7          8          9          10         11         12
VARIABLES =   "GRID_LEVEL"   "GRID_SIZE"   "GRID_FAC"   "MACH"   "REY"   "ALPHA"   "CL_AVG"   "CD_AVG"   "CM_AVG"   "CL_RMS"   "CD_RMS"   "CM_RMS" 

#---------------------------------------------------
#   PARTICIPANT, GRID, AND SOLVER INFORMATION
#---------------------------------------------------
DATASETAUXDATA ParticipantID   = "023.01"
DATASETAUXDATA SubmissionDate  = "10/05/2025"
DATASETAUXDATA Name            = "Baptiste ARNOULD"
DATASETAUXDATA Email           = "baptiste.arnould@polymtl.ca"
DATASETAUXDATA Institution     = "Polytechnique Montreal"
DATASETAUXDATA SolverName      = "CHAMPS"
DATASETAUXDATA BasicAlgorithm  = "RANS"
DATASETAUXDATA TurbulenceModel = "SA-comp"
DATASETAUXDATA GridId          = "Cadence_Grids.REV01 Unstructured"
DATASETAUXDATA Discretization  = "Finite volume"
DATASETAUXDATA Order           = "2"
DATASETAUXDATA DistanceCalc    = "EIKONAL_2ND_ORDER"
DATASETAUXDATA Notes           = "Time step Dt is given in CTU unit"


ZONE T="023.01 - GRID LEVEL 1"
AUXDATA Tstatic         = "273.0"
AUXDATA Dt              = "0.086375"
AUXDATA GridFileName    = "ONERA-OAT15A_230mmChord_780mmSpan_upZ_2024_09_05_Unstructured_Level-1.cgns"
AUXDATA Misc            = "Time step Dt is given in CTU unit"
1 47187 7.65805e-04 0.73 3000000 1.36 0.76808574948991 0.01361331613414 -0.12931048500000 0.00000005845277 0.00000000047438 0.00000000500000
1 47187 7.65805e-04 0.73 3000000 1.50 0.79639920051819 0.01477345654293 -0.13002746000000 0.00000000207389 0.00000000159240 0.00000000000000
1 47187 7.65805e-04 0.73 3000000 2.50 0.92483348191500 0.02765710257654 -0.13095871500000 0.00000002171855 0.00000000056099 0.00000000500000
1 47187 7.65805e-04 0.73 3000000 3.00 0.91244835264420 0.03485607094736 -0.12192541533987 0.03976426137867 0.00308308753327 0.01121599863723
1 47187 7.65805e-04 0.73 3000000 3.10 0.90536639349656 0.03643016833166 -0.11967479905072 0.05155778119020 0.00395063034005 0.01412769014275
1 47187 7.65805e-04 0.73 3000000 3.25 0.90145193671588 0.03886105835859 -0.11776152508133 0.06510289373329 0.00498503024356 0.01725829238186
1 47187 7.65805e-04 0.73 3000000 3.40 0.89578888356361 0.04139866567463 -0.11658923490554 0.08236605737131 0.00626942717897 0.02099443349079
1 47187 7.65805e-04 0.73 3000000 3.50 0.89260040349163 0.04307461032630 -0.11591857027900 0.09208341631764 0.00699458879314 0.02290972343176
1 47187 7.65805e-04 0.73 3000000 3.60 0.89191705076444 0.04471979951827 -0.11513428952256 0.09764826596264 0.00745686910997 0.02387279011320
1 47187 7.65805e-04 0.73 3000000 3.90 0.88795599157596 0.04976378224829 -0.11346476320471 0.11584947381569 0.00891828128366 0.02667604327056


ZONE T="023.01 - GRID LEVEL 2"
AUXDATA Tstatic         = "273.0"
AUXDATA Dt              = "0.086375"
AUXDATA GridFileName    = "ONERA-OAT15A_230mmChord_780mmSpan_upZ_2024_09_05_Unstructured_Level-2.cgns"
AUXDATA Misc            = "Time step Dt is given in CTU unit"
2 89616 4.99355e-04 0.73 3000000 1.36 0.78029302597686 0.01366100618509 -0.13173476000000 0.00000027172957 0.00000008870386 0.00000037000000
2 89616 4.99355e-04 0.73 3000000 1.50 0.80988175409596 0.01492509564234 -0.13284253500000 0.00000111448924 0.00000022606635 0.00000099500000
2 89616 4.99355e-04 0.73 3000000 2.50 0.94496225824270 0.02867763052401 -0.13608147000000 0.00000000000000 0.00000000000000 0.00000000000000
2 89616 4.99355e-04 0.73 3000000 3.00 0.94085661886340 0.03597565496375 -0.12683621835570 0.02379097067271 0.00197726985550 0.00710032327002
2 89616 4.99355e-04 0.73 3000000 3.10 0.93466404589624 0.03759185102174 -0.12526715065574 0.04531012608167 0.00370147753590 0.01310747765869
2 89616 4.99355e-04 0.73 3000000 3.25 0.92780482835899 0.03996627568404 -0.12322251961995 0.06669468136347 0.00536993114391 0.01850390567676
2 89616 4.99355e-04 0.73 3000000 3.40 0.92240195929890 0.04242204055628 -0.12166528678092 0.08253005060874 0.00662485508623 0.02211478966076
2 89616 4.99355e-04 0.73 3000000 3.50 0.91890855683343 0.04411571673639 -0.12083945330844 0.09160129787174 0.00735219506455 0.02402484244807
2 89616 4.99355e-04 0.73 3000000 3.60 0.91589225031367 0.04576892687992 -0.12003740852765 0.10003604368511 0.00802392456049 0.02567229721294
2 89616 4.99355e-04 0.73 3000000 3.90 0.90759141364583 0.05087264683701 -0.11831986674925 0.12195806582697 0.00982496780992 0.02948315636659


ZONE T="023.01 - GRID LEVEL 3"
AUXDATA Tstatic         = "273.0"
AUXDATA Dt              = "0.086375"
AUXDATA GridFileName    = "ONERA-OAT15A_230mmChord_780mmSpan_upZ_2024_09_05_Unstructured_Level-3.cgns"
AUXDATA Misc            = "Time step Dt is given in CTU unit"
3 150333 3.53696e-04 0.73 3000000 1.36 0.78125098000788 0.01359254393234 -0.13194766500000 0.00000011573207 0.00000000756919 0.00000007500000
3 150333 3.53696e-04 0.73 3000000 1.50 0.81082301154427 0.01485430457245 -0.13304514000000 0.00000015670911 0.00000001148106 0.00000011000000
3 150333 3.53696e-04 0.73 3000000 2.50 0.94689347128080 0.02867440426784 -0.13649425000000 0.00000000000000 0.00000000000000 0.00000000000000
3 150333 3.53696e-04 0.73 3000000 3.00 0.94585083676042 0.03603943928059 -0.12813740759370 0.02810079907941 0.00233287470769 0.00838783899177
3 150333 3.53696e-04 0.73 3000000 3.10 0.94208228068308 0.03764011018635 -0.12673557997766 0.04498627230910 0.00370311506715 0.01306895933417
3 150333 3.53696e-04 0.73 3000000 3.25 0.93700343671174 0.04007862731033 -0.12491983485800 0.06301657353078 0.00517025245347 0.01767955449064
3 150333 3.53696e-04 0.73 3000000 3.40 0.93206892738969 0.04261800131721 -0.12346601844244 0.07822373234564 0.00643325509525 0.02128675764379
3 150333 3.53696e-04 0.73 3000000 3.50 0.92933790735184 0.04425508307101 -0.12255034742470 0.08718974155745 0.00716159464713 0.02323509624108
