#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
#
# DPW-8/AePW-4 UNSTEADY SECTIONAL CUT SUBMITTAL FORM (Version 5 - October 16, 2024)
#
# Provide this file for steady-state or time-averaged sectional cuts
#
#
#
# Data Set Title XXX.YY: Replace "XXX.YY" in the zone titles with the following information
#                     (Three-Digit Participant ID).(Two-Digit Submission ID)
#                     XXX  THREE-DIGIT PARTICIPANT ID: assigned by your working group leaders
#                     YY   TWO-DIGIT  SUBMISSION ID:  (self assigned) label a solver/grid/computational approach
#                     K.KK ALPHA: Angle of attack for the solution
#                     L    GRID LEVEL: 1, 2, 3, 4, 5, or 6
#                     EXAMPLE: 007.02 - ALPHA 2.50 - GRID 3 - WING SECTION  1
#
# 
#       NOMENCLATURE:
#                  X:   X coordinate
#                  Y:   Y coordinate
#                  Z:   Z coordinate
#                X/C:   Chord Fraction = (X - X_LE)/CHORD
#             CP_AVG:   Time-averaged coefficient of pressure
#             CP_RMS:   Root mean square of instantaneous coefficient of pressure
#             CF_AVG:   Time-averaged skin-friction coefficient at wall [tauw/(freestream dynamic pressure)]
#             CF_RMS:   Root mean square of skin-friction coefficient at wall [tauw/(freestream dynamic pressure)]
#                   
#        DEFINITIONS:   CTU --> Convective Time Unit  (Uinf/Cref is 1.00 CTU)
#
#   REFERENCE VALUES: ONERA OAT15A (ONE CELL WIDE)
#                       Planform ref area, A         =  Cref * span (span is grid dependent)
#                       Mean aerodynamic chord, Cref =    230.00 mm
#                       x moment center              =     57.50 mm
#                       y moment center              =      0.00 mm
#                       z moment center              =      0.00 mm
#
#   REFERENCE VALUES: Common Research Model
#                       Planform ref area, A         = 594720.00 inches^2
#                       Mean aerodynamic chord, Cref =    275.80 inches
#                       Full-span length, B          =   2313.50 inches
#                       Semi-span length, BO2        =   1156.75 inches
#                       x moment center              =   1325.90 inches
#                       y moment center              =      0.00 inches
#                       z moment center              =    177.95 inches
#                       Aspect Ratio, AR             =      9.00
#
#   CONFIGURATION:      ONERA OAT15A
#                       CRMWB   (Common Research Model Wing/Body)
#                       CRMWBNP (Common Research Model Wing/Body/Nacelle/Pylon)
#
#
#              NOTES:   1. All numerical data fields can be free-formatted.
#                       2. Please use at least 4 decimal places for coordinate values
#                       3. Please use at least 6 decimal places for coefficient values
#                       4. Only include one grid type, grid size, soln method, turb model, etc per form.
#                       5. Fill fields with value of -999 for data that are not available.
#
#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++

TITLE = "XXX.YY"
# Column       1     2     3     4       5          6          7          8
VARIABLES =   "X"   "Y"   "Z"   "X/C"   "CP_AVG"   "CP_RMS"   "CF_AVG"   "CF_RMS"


#---------------------------------------------------
#   PARTICIPANT, GRID, AND SOLVER INFORMATION
#---------------------------------------------------
DATASETAUXDATA ParticipantID   = "Participant ID"
DATASETAUXDATA SubmissionDate  = "Date of Submission"
DATASETAUXDATA Name            = "Name of Participant"
DATASETAUXDATA Email           = "Email Address of Participant"
DATASETAUXDATA Institution     = "Name of your company/organization"
DATASETAUXDATA SolverName      = "Solver name used and version number"
DATASETAUXDATA BasicAlgorithm  = "RANS, URANS, DES, DDES, WMLES, etc."
DATASETAUXDATA TurbulenceModel = "SA, SA-RC, SA-la, SST, SST-2003, Wilcox1998k-w, EARSMko2005, etc."
DATASETAUXDATA GridId          = "Multiblock, Overset, Hex, Hybrid, Prism, Custom, etc."
DATASETAUXDATA Notes           = "Any thing else you would like to add"


ZONE T="XXX.YY - ALPHA K.KK - GRID L - WING SECTION  1"
AUXDATA GridLevel       = "1, 2, 3, 4, 5, or 6"
AUXDATA Mach            = "?.????"
AUXDATA Re              = "??"
AUXDATA Alpha           = "?.????"
AUXDATA Tstatic         = "??"
AUXDATA CLtotal         = "?.?????"
AUXDATA Eta             = "0.???"
AUXDATA Dt              = "Time step per iteration (optional)"
AUXDATA CtuStart        = "Convective Time Unit at Which Averaging Started"
AUXDATA CtuAvg          = "Number of Convective Time Units in Time-Averaging Phase"
AUXDATA GridFileName    = "File name(s) of the grid(s) you used"
            ???.????  ???.????  ???.????  ?.??????  ?.???????  ?.??????  ?.???????  ?.??????
            ???.????  ???.????  ???.????  ?.??????  ?.???????  ?.??????  ?.???????  ?.??????
            etc.


ZONE T="XXX.YY - ALPHA K.KK - GRID L - WING SECTION  ..."
AUXDATA GridLevel       = "1, 2, 3, 4, 5, or 6"
AUXDATA Mach            = "?.????"
AUXDATA Re              = "??"
AUXDATA Alpha           = "?.????"
AUXDATA Tstatic         = "??"
AUXDATA CLtotal         = "?.?????"
AUXDATA Eta             = "0.???"
AUXDATA Dt              = "Time step per iteration (optional)"
AUXDATA CtuStart        = "Convective Time Unit at Which Averaging Started"
AUXDATA CtuAvg          = "Number of Convective Time Units in Time-Averaging Phase"
AUXDATA GridFileName    = "File name(s) of the grid(s) you used"
            ???.????  ???.????  ???.????  ?.??????  ?.???????  ?.??????  ?.???????  ?.??????
            ???.????  ???.????  ???.????  ?.??????  ?.???????  ?.??????  ?.???????  ?.??????
            etc.




TITLE = "032.01"
VARIABLES =   "X"   "Y"   "Z"   "X/C"   "CP_AVG"   "CP_RMS"   "CF_AVG"   "CF_RMS"


DATASETAUXDATA ParticipantID   = "032"
DATASETAUXDATA SubmissionDate  = "2026-06-04"
DATASETAUXDATA Name            = "Johan Jansson"
DATASETAUXDATA Email           = "jjan@kth.se"
DATASETAUXDATA Institution     = "KTH"
DATASETAUXDATA SolverName      = "Adaptive Euler 2025-05-31_01"
DATASETAUXDATA BasicAlgorithm  = "Euler Simple FSI (Implicit LES with free slip BC, iterating between Adaptive Euler flow solver and simple linear elastic structure solver in FEniCS)"
DATASETAUXDATA TurbulenceModel = "No turbulence model (Implicit LES)"
DATASETAUXDATA GridId          = "Tet"
DATASETAUXDATA Notes           = ""


ZONE T="032.01 - ALPHA 4.84 - GRID CUSTOM01 - WING SECTION  1"
AUXDATA GridLevel       = "CUSTOM01"
AUXDATA Mach            = "0.85"
AUXDATA Re              = "2.2e6"
AUXDATA Alpha           = "4.84"
AUXDATA Tstatic         = "271.0"
AUXDATA CLtotal         = "-999"
AUXDATA Eta             = "0.8"
AUXDATA Dt              = ""
AUXDATA CtuStart        = ""
AUXDATA CtuAvg          = ""
AUXDATA GridFileName    = ""

ZONE T="032.01 - ALPHA 4.84 - t=0.000000 GRID CUSTOMFSI01 - WING SECTION  1

-999 -999 -999 1.000000 -0.318243 -999 -999 -999
-999 -999 -999 0.989728 -0.447109 -999 -999 -999
-999 -999 -999 0.987160 -0.480543 -999 -999 -999
-999 -999 -999 0.609142 -0.478559 -999 -999 -999
-999 -999 -999 0.604006 -0.476665 -999 -999 -999
-999 -999 -999 0.740627 -0.525096 -999 -999 -999
-999 -999 -999 0.702106 -0.511379 -999 -999 -999
-999 -999 -999 0.821263 -0.547201 -999 -999 -999
-999 -999 -999 0.824345 -0.547943 -999 -999 -999
-999 -999 -999 0.000514 0.328808 -999 -999 -999
-999 -999 -999 0.000000 0.336790 -999 -999 -999
-999 -999 -999 0.002054 0.301899 -999 -999 -999
-999 -999 -999 0.985619 -0.483876 -999 -999 -999
-999 -999 -999 0.969697 -0.541910 -999 -999 -999
-999 -999 -999 0.951721 -0.564249 -999 -999 -999
-999 -999 -999 0.943503 -0.574278 -999 -999 -999
-999 -999 -999 0.918850 -0.575761 -999 -999 -999
-999 -999 -999 0.899846 -0.575752 -999 -999 -999
-999 -999 -999 0.887006 -0.576939 -999 -999 -999
-999 -999 -999 0.826913 -0.549236 -999 -999 -999
-999 -999 -999 0.006163 0.150608 -999 -999 -999
-999 -999 -999 0.006163 0.145790 -999 -999 -999
-999 -999 -999 0.006677 0.138771 -999 -999 -999
-999 -999 -999 0.011813 0.030062 -999 -999 -999
-999 -999 -999 0.015408 0.000553 -999 -999 -999
-999 -999 -999 0.017976 -0.039465 -999 -999 -999
-999 -999 -999 0.022085 -0.096719 -999 -999 -999
-999 -999 -999 0.037494 -0.141519 -999 -999 -999
-999 -999 -999 0.042116 -0.153810 -999 -999 -999
-999 -999 -999 0.046739 -0.172719 -999 -999 -999
-999 -999 -999 0.082178 -0.245618 -999 -999 -999
-999 -999 -999 0.087314 -0.255741 -999 -999 -999
-999 -999 -999 0.130457 -0.307089 -999 -999 -999
-999 -999 -999 0.143811 -0.327534 -999 -999 -999
-999 -999 -999 0.204931 -0.336969 -999 -999 -999
-999 -999 -999 0.219825 -0.330592 -999 -999 -999
-999 -999 -999 0.238829 -0.338512 -999 -999 -999
-999 -999 -999 0.299949 -0.359929 -999 -999 -999
-999 -999 -999 0.417565 -0.401134 -999 -999 -999
-999 -999 -999 0.411402 -0.398407 -999 -999 -999
-999 -999 -999 0.389317 -0.392663 -999 -999 -999
-999 -999 -999 0.339497 -0.377039 -999 -999 -999
-999 -999 -999 0.523883 -0.457001 -999 -999 -999
-999 -999 -999 0.491525 -0.443370 -999 -999 -999
-999 -999 -999 0.429379 -0.406669 -999 -999 -999
-999 -999 -999 0.601952 -0.476041 -999 -999 -999


ZONE T="032.01 - ALPHA 4.84 - t=0.204800 GRID CUSTOMFSI01 - WING SECTION  1

-999 -999 -999 1.000000 -0.300927 -999 -999 -999
-999 -999 -999 0.989728 -0.443949 -999 -999 -999
-999 -999 -999 0.987160 -0.480911 -999 -999 -999
-999 -999 -999 0.609142 -0.494009 -999 -999 -999
-999 -999 -999 0.604006 -0.492200 -999 -999 -999
-999 -999 -999 0.740627 -0.539429 -999 -999 -999
-999 -999 -999 0.702106 -0.527665 -999 -999 -999
-999 -999 -999 0.821263 -0.560502 -999 -999 -999
-999 -999 -999 0.824345 -0.561294 -999 -999 -999
-999 -999 -999 0.000514 0.368049 -999 -999 -999
-999 -999 -999 0.000000 0.376631 -999 -999 -999
-999 -999 -999 0.002054 0.338613 -999 -999 -999
-999 -999 -999 0.985619 -0.484622 -999 -999 -999
-999 -999 -999 0.969697 -0.546098 -999 -999 -999
-999 -999 -999 0.951721 -0.574514 -999 -999 -999
-999 -999 -999 0.943503 -0.587093 -999 -999 -999
